source,target,weight
58,1717,627
58,1721,621
193,2973,7
193,2981,198
365,1550,219
365,1632,218
367,779,168
367,1721,10
367,3053,196
374,1040,81
374,2211,59
380,1690,1031
380,2910,1024
381,2345,639
381,3119,630
388,807,442
388,1937,429
397,1808,197
397,2697,202
400,401,16
400,3222,19
401,872,126
401,3222,115
405,1029,942
405,1046,1011
406,698,37
406,1858,30
407,615,172
407,1863,166
424,2223,113
424,2235,117
438,731,115
438,1698,126
451,654,165
451,1492,521
451,2974,347
453,905,682
453,1841,675
455,1846,18
455,2573,177
455,2808,172
457,975,98
457,2790,95
461,1259,90
461,2713,73
461,2793,54
472,866,228
472,2335,9
472,2336,216
576,1634,112
576,2603,112
588,746,164
588,2143,161
615,407,166
615,1188,172
618,1139,142
618,1228,218
618,2993,381
632,2223,117
632,2697,197
632,3016,148
632,3183,240
632,3596,161
634,2337,404
634,3074,418
635,1393,148
635,1853,174
636,2636,174
636,2833,9
636,2906,148
641,2850,6
641,2916,26
641,3071,18
642,768,418
642,1604,417
654,451,170
654,2250,165
698,406,30
698,3032,37
710,2487,815
710,2520,828
725,1645,165
725,2112,160
731,438,126
731,872,115
734,1085,10
734,1229,176
734,1974,365
734,2437,207
734,2603,340
734,2919,4
734,5154,65
734,5370,14
734,5378,314
736,737,161
736,2143,164
737,736,164
737,1039,161
746,588,161
746,2518,33
746,2790,197
766,1393,1496
766,1554,1146
766,2033,10
766,3098,153
766,5264,274
768,642,417
768,3101,418
779,367,196
779,1386,627
779,1716,7
779,1721,161
780,1187,627
780,2923,643
799,1085,176
799,2419,185
801,1542,148
801,2260,174
807,388,429
807,905,16
807,1066,17
807,1111,113
807,1550,138
807,1551,442
807,3015,40
811,1998,240
811,2836,240
813,3038,216
813,3114,228
819,899,494
819,2696,508
819,5046,429
858,1554,980
858,1715,14
858,2033,990
866,472,216
866,2112,228
872,401,115
872,731,126
872,1698,6
873,899,508
873,1208,494
873,2696,11
883,892,202
883,932,213
891,2930,418
891,3074,417
892,883,213
892,2919,202
899,819,508
899,873,494
905,453,675
905,1066,12
905,1841,33
905,1964,442
905,1998,240
926,1940,213
926,2763,209
932,883,202
932,1201,213
934,1153,12
934,1704,230
934,2513,245
937,1134,356
937,1584,7
937,1969,166
937,2686,149
947,1754,115
947,1761,126
948,1393,90
948,2757,90
950,1193,404
950,2337,405
951,2910,1031
951,2919,1033
951,2920,13
964,2518,33
964,3123,33
975,457,95
975,2111,14
975,2651,84
997,1201,19
997,2763,213
997,3372,190
1005,725,12
1005,1639,165
1005,1645,126
1005,1973,22
1025,2573,20
1029,405,1011
1029,1413,942
1037,2046,149
1037,3095,144
1039,737,164
1039,2046,161
1040,374,54
1040,1202,81
1046,405,942
1046,1393,1011
1066,807,12
1066,905,17
1066,1937,442
1066,1964,429
1085,799,185
1085,2419,186
1085,2437,360
1087,1158,469
1087,85053,137
1089,1919,3
1089,2275,120
1093,1528,172
1093,1739,166
1099,1473,177
1099,1808,202
1100,2218,26
1100,2504,18
1111,807,117
1111,2235,113
1119,2612,371
1119,2982,368
1128,1151,202
1128,2437,197
1134,937,315
1134,1584,123
1134,1626,92
1134,2111,8
1134,2164,13
1134,2211,108
1134,2589,153
1139,618,152
1139,1225,177
1139,1228,10
1139,1263,112
1139,1846,155
1139,1919,3
1139,2151,219
1151,1128,167
1151,2015,202
1153,934,6
1153,1704,230
1153,2894,242
1158,873,11
1158,1087,497
1158,3222,722
1174,1618,630
1174,3119,639
1187,780,643
1187,1721,627
1188,615,166
1188,2481,172
1189,1225,190
1189,1846,177
1193,950,405
1193,1761,404
1201,932,202
1201,2919,7
1201,3372,213
1202,374,5
1202,1040,54
1202,1940,321
1202,2112,121
1202,2211,132
1202,3109,44
1208,873,508
1208,3222,494
1225,1139,190
1225,1189,177
1228,618,229
1228,1139,13
1228,1258,205
1229,734,173
1229,2099,176
1230,1581,1131
1230,1841,6
1230,2696,1124
1253,2290,10
1253,3012,63
1258,1228,219
1258,2151,205
1259,461,90
1259,2713,90
1263,1139,120
1263,3013,112
1311,1585,140
1311,2640,163
1329,1575,219
1329,2993,188
1386,779,643
1386,2923,627
1393,635,174
1393,766,1511
1393,948,90
1393,1046,942
1393,1554,29
1393,2033,9
1393,2713,54
1393,2994,372
1393,3098,13
1402,1858,144
1402,2934,136
1404,1917,37
1404,3032,30
1407,1467,136
1407,2934,144
1413,1029,1011
1413,2994,942
1415,2881,44
1415,3109,42
1425,1835,225
1425,3038,228
1467,1407,144
1467,3095,136
1473,1099,202
1473,2015,197
1492,451,512
1492,2994,521
1528,1093,166
1528,1949,172
1542,636,9
1542,801,174
1542,2636,148
1550,365,218
1550,807,82
1550,1551,429
1550,1632,142
1550,1841,151
1550,1930,12
1550,2982,401
1550,3015,64
1551,807,429
1551,1550,442
1554,766,1152
1554,858,1004
1554,1393,42
1554,2033,15
1554,3098,156
1575,1329,188
1575,1934,219
1575,2993,30
1581,1230,1124
1581,1841,1131
1584,1134,109
1584,1720,279
1584,2686,172
1584,2820,815
1585,1311,163
1585,1682,140
1593,2260,157
1604,642,418
1604,2930,417
1618,1174,639
1618,2909,630
1626,1134,59
1626,2164,92
1632,365,219
1632,1550,162
1632,1575,30
1632,1934,188
1632,2993,142
1634,576,112
1634,3022,112
1639,1005,160
1645,725,148
1645,1005,121
1645,2557,44
1682,1585,163
1682,2889,140
1688,2520,815
1688,2604,828
1690,380,1024
1690,951,9
1690,2910,13
1690,3061,1031
1698,438,115
1698,1754,126
1698,1761,6
1698,5092,427
1698,5094,422
1704,934,230
1704,1153,230
1707,1713,1207
1707,1715,301
1707,5048,1988
1707,5053,190
1707,5054,2655
1707,5056,1180
1707,5065,1441
1708,1712,8
1708,3098,1695
1708,3099,1754
1711,1712,1081
1711,1715,1566
1711,1728,27
1711,1841,4
1711,2716,2199
1712,1708,20
1712,1711,1082
1712,1715,56
1712,1720,457
1712,1728,419
1712,2147,508
1712,2919,100
1712,3099,103
1712,3169,621
1713,1707,1204
1713,1714,2839
1713,3099,1633
1714,1713,2837
1714,1719,2839
1715,1707,300
1715,1711,1583
1715,1712,33
1715,1728,301
1715,3098,304
1715,3099,246
1716,779,5
1716,1721,191
1717,58,621
1717,3169,627
1718,1720,1207
1718,3169,1632
1718,3468,2837
1719,1714,2837
1719,1723,2839
1720,937,12
1720,1584,281
1720,1712,440
1720,1718,1204
1720,2046,164
1720,2487,828
1721,58,627
1721,779,161
1721,1187,643
1721,1716,171
1721,2923,8
1723,1719,2837
1723,3468,2839
1728,1711,26
1728,1712,440
1728,1715,300
1728,1841,255
1728,3098,54
1739,1093,172
1739,2481,166
1754,947,126
1754,1698,115
1761,947,115
1761,1193,405
1761,1550,6
1761,1930,434
1761,2982,12
1808,397,202
1808,1099,177
1808,1473,20
1835,734,9
1835,1425,228
1835,2603,216
1841,453,682
1841,807,49
1841,905,16
1841,1550,106
1841,1581,1124
1841,1728,273
1841,1842,417
1841,2696,88
1841,2716,2192
1842,1841,418
1842,3101,417
1846,1139,162
1846,1189,190
1846,2760,155
1846,2808,177
1848,2419,185
1848,3048,185
1853,635,148
1853,2833,174
1858,406,37
1858,1402,136
1858,1899,125
1858,1936,64
1858,2036,167
1858,3053,7
1863,407,172
1863,2301,166
1899,1858,125
1899,2391,125
1917,1404,30
1917,2909,639
1919,1089,3
1919,1139,3
1919,2632,112
1919,3013,120
1930,1761,413
1930,2612,414
1930,2982,20
1934,1575,188
1934,1632,219
1936,1858,55
1936,2976,64
1937,388,442
1937,1066,429
1940,926,209
1940,1202,325
1940,2392,112
1949,1528,166
1949,1969,172
1964,905,429
1964,1066,442
1969,937,172
1969,1949,166
1973,1005,44
1973,2557,22
1974,734,332
1974,2437,365
1998,811,240
1998,905,240
2015,1128,30
2015,1151,167
2015,1473,202
2019,2391,125
2019,3014,125
2033,858,980
2033,1715,10
2033,2987,1005
2033,3098,9
2035,934,9
2035,2894,236
2036,1858,191
2036,3053,167
2046,1037,144
2046,1039,164
2046,1720,161
2046,2301,172
2046,3380,140
2099,1229,173
2099,3025,176
2111,937,7
2111,975,28
2111,1134,7
2111,2564,67
2111,2589,135
2112,472,9
2112,725,165
2112,866,216
2112,1202,114
2112,2513,242
2112,2881,42
2112,3109,9
2138,2640,140
2138,3134,163
2143,588,164
2143,736,161
2147,1690,9
