source,target,dist
5053,5054,0
5054,1707,0
5048,5262,0
5262,5263,0
5263,5264,0
5334,5333,0
5333,5332,0
5048,5336,0
5336,5337,0
5337,5338,0
5338,5339,0
5339,5340,0
5340,5341,0
5341,5342,0
5342,5343,0
5343,5344,0
5344,5345,0
5345,5346,0
1158,3222,0
1711,2716,0
2716,1841,0
1841,453,0
453,905,0
905,1964,0
1964,1066,0
1066,1937,0
1937,388,0
388,807,0
1551,1550,0
1208,873,0
873,899,0
899,819,0
819,2696,0
2696,1230,0
1230,1581,0
1581,1841,0
3099,1708,0
1708,3098,0
3098,2345,0
618,2993,0
1728,1711,0
1139,2151,0
2151,1258,0
1258,1228,0
1228,618,0
2993,1329,0
1329,1575,0
1575,1934,0
1934,1632,0
1632,365,0
365,1550,0
2981,2973,0
2973,2889,0
2889,2655,0
2655,2976,0
2976,1936,0
1936,1858,0
1858,2036,0
2036,3053,0
3053,367,0
367,779,0
1721,1716,0
400,3222,0
2909,1618,0
1618,1174,0
1174,3119,0
3119,381,0
1974,2437,0
2437,1085,0
1085,799,0
799,2419,0
2419,1848,0
1848,3048,0
3048,2919,0
1930,1761,0
1761,947,0
947,1754,0
1754,1698,0
1698,438,0
438,731,0
731,872,0
872,401,0
1930,2612,0
2982,1550,0
1202,3109,0
3109,1415,0
1415,2881,0
2881,2112,0
2112,725,0
725,1645,0
1645,2557,0
2557,1973,0
1973,1005,0
1005,1639,0
2760,2195,0
2195,2218,0
2218,1100,0
1100,2504,0
2504,2916,0
2916,641,0
641,3071,0
3071,2850,0
1087,85053,0
85053,85033,0
85033,85099,0
451,1492,0
2573,455,0
455,2808,0
2808,1846,0
1846,1189,0
1189,1225,0
1225,1139,0
2982,1119,0
1119,2612,0
1761,1193,0
1193,950,0
950,2337,0
2337,634,0
634,3074,0
3074,891,0
891,2930,0
2930,1604,0
1604,642,0
642,768,0
768,3101,0
3101,1842,0
1842,1841,0
2696,5052,0
5052,5073,0
5049,5064,0
5064,5048,0
1712,3169,0
1717,58,0
58,1721,0
1721,1187,0
1187,780,0
780,2923,0
1386,779,0
632,3183,0
3183,2223,0
2223,2836,0
2836,811,0
811,1998,0
1998,905,0
2790,746,0
746,588,0
588,2143,0
2143,736,0
736,737,0
737,1039,0
1720,1718,0
1718,3468,0
3468,1723,0
1723,1719,0
1719,1714,0
1714,1713,0
1713,1707,0
1707,5065,0
5065,5066,0
5066,5409,0
5409,5069,0
5069,5070,0
1720,1712,0
1712,1728,0
3099,1713,0
1718,3169,0
3507,2147,0
2994,1413,0
1413,1029,0
1029,405,0
405,1046,0
1046,1393,0
1393,766,0
766,1554,0
1554,858,0
858,2033,0
2033,2987,0
2147,3061,0
1690,380,0
380,2910,0
2910,951,0
2211,2164,0
2147,1712,0
1229,2099,0
2112,2513,0
2513,934,0
1153,2894,0
2894,2035,0
734,2603,0
2603,1835,0
1835,1425,0
1425,3038,0
3038,813,0
813,3114,0
3114,2335,0
2335,2336,0
2336,472,0
472,866,0
866,2112,0
934,1704,0
1704,1153,0
1584,2686,0
2686,937,0
937,1134,0
1134,2589,0
1139,1263,0
1263,3013,0
3013,1919,0
1919,2632,0
2632,2477,0
2477,2275,0
2275,1089,0
807,1111,0
1111,2235,0
2235,424,0
424,2223,0
807,3015,0
1393,635,0
635,1853,0
1853,2833,0
2833,2906,0
2906,636,0
636,2636,0
2636,1542,0
1542,801,0
801,2260,0
2260,1593,0
2760,1025,0
1025,2573,0
5266,5265,0
5264,766,0
975,457,0
457,2790,0
975,2651,0
2651,2435,0
2435,2564,0
2564,2111,0
2437,1128,0
1128,1151,0
1151,2015,0
2015,1473,0
1473,1099,0
1099,1808,0
1808,397,0
397,2697,0
2697,632,0
2919,892,0
892,883,0
883,932,0
932,1201,0
1201,3372,0
3372,997,0
997,2763,0
2763,926,0
926,1940,0
2920,3594,0
3594,3016,0
3016,3595,0
3595,3596,0
3596,632,0
5093,5355,0
5355,5356,0
5356,5357,0
5359,5151,0
5361,5152,0
5152,5362,0
5362,5363,0
5363,5364,0
5364,5365,0
5365,5366,0
5366,5367,0
5367,5154,0
5154,5368,0
5368,5369,0
5369,5370,0
5370,5374,0
5374,5375,0
5375,5376,0
5378,734,0
5094,1698,0
1698,5092,0
5092,5091,0
5091,5090,0
5090,5089,0
5089,5088,0
5088,5087,0
5087,5086,0
5086,5046,0
5046,5073,0
5064,5063,0
5063,5062,0
5062,5061,0
5061,5060,0
5060,5059,0
5059,5058,0
5058,5057,0
5057,5056,0
5056,1707,0
5318,5319,0
5319,5320,0
5320,5321,0
5321,5322,0
5322,5323,0
5325,5326,0
5326,5327,0
5327,5328,0
5048,5309,0
5309,5310,0
5310,5311,0
5311,5312,0
5312,5313,0
5313,5314,0
5314,5315,0
5315,5316,0
5316,5317,0
5317,5318,0
819,5046,0
5073,5072,0
5072,5071,0
5071,5070,0
5098,5097,0
5097,5096,0
5096,5095,0
5353,5352,0
5352,5351,0
5351,5350,0
5350,5349,0
5349,5348,0
5348,5347,0
5347,5051,0
5323,5324,0
5324,5325,0
2920,2919,0
461,1259,0
1259,2713,0
2713,3018,0
3018,2757,0
2757,948,0
948,1393,0
5276,5266,0
2603,576,0
576,1634,0
1634,3022,0
3022,2392,0
2392,1940,0
937,1969,0
1969,1949,0
1949,1528,0
1528,1093,0
1093,1739,0
1739,2481,0
2481,1188,0
1188,615,0
615,407,0
407,1863,0
1863,2301,0
2301,2046,0
1720,2487,0
2487,710,0
710,2520,0
2520,1688,0
1688,2604,0
2604,2820,0
2820,1584,0
2019,2391,0
2391,1899,0
1899,1858,0
1858,1402,0
1402,2934,0
2934,1407,0
1407,1467,0
1467,3095,0
3095,1037,0
1037,2046,0
2250,654,0
3123,964,0
964,2518,0
2518,746,0
3380,2611,0
2611,3134,0
3134,2138,0
2138,2640,0
2640,1311,0
1311,1585,0
1585,1682,0
1682,2889,0
1858,406,0
406,698,0
698,3032,0
3032,1404,0
1134,1626,0
1626,2164,0
2211,374,0
374,1040,0
1040,1202,0
400,401,0
