source;target;dist
1707;5048;9
5264;5334;1
5334;5264;1
5048;1707;9
1087;1158;1
3222;2696;6
2696;1841;2
1841;1728;2
1728;1841;2
1841;2696;2
2696;3222;6
1158;1087;1
1715;1711;1
807;1551;1
1551;807;1
1711;1715;1
3222;1208;2
1208;3222;2
1715;3099;1
2345;3098;1
3099;1715;1
2696;1158;7
1158;873;4
873;2696;2
2760;1846;4
1846;1139;2
1139;618;3
2993;1632;3
1632;1550;1
1550;807;2
807;905;4
905;1841;1
1841;807;6
807;1550;2
1550;1632;1
1632;2993;3
618;1139;3
1139;1846;2
1846;2760;4
2760;2916;4
2916;2850;2
1841;905;1
905;1066;1
1066;807;2
807;1066;2
1066;905;1
1139;1228;2
1550;1841;9
193;2981;2
779;1721;5
1917;2909;1
381;2345;1
734;1974;1
2919;2147;4
2147;1712;2
1712;1711;1
2850;2916;2
2916;2218;2
2218;2760;1
1550;1930;3
401;3222;1
3222;401;1
2612;2982;1
1761;2982;3
1005;1645;2
2112;3109;2
1202;2211;2
2211;1134;2
85099;2974;1
2974;451;1
1492;2994;1
2982;1930;2
2760;2573;1
3222;872;2
872;1698;2
1698;1761;2
1761;1550;4
5073;5049;3
1715;1712;2
3169;1717;4
2923;1386;1
1930;2982;2
5049;5073;3
1711;1712;1
1386;2923;1
1717;3169;4
1712;1715;5
1712;1715;2
1715;1711;4
1711;1841;1
1841;1550;9
2916;2760;4
1632;1575;1
1575;2993;1
1228;1139;2
1039;2046;1
2046;1720;4
1720;1712;2
2112;1202;3
1134;1584;2
1584;1720;2
1712;2147;1
2147;2919;7
1974;734;1
3169;3507;1
2987;2345;1
3061;1690;1
951;2919;1
1005;725;3
2164;1134;1
1720;1712;1
2919;2147;3
2147;1712;1
3507;3169;1
2345;381;1
2909;1917;1
632;3016;2
3016;2147;5
1712;1728;1
2919;951;1
1690;3061;1
2345;2987;1
2147;2919;3
2919;2419;2
2419;1085;1
2437;734;2
734;1229;3
2099;3025;3
3025;2099;3
1229;734;3
734;2437;2
1085;2419;1
2419;2919;2
1728;1712;1
3025;2099;4
934;1153;1
1153;934;1
1712;1720;2
1720;1584;6
2589;2111;1
2035;934;3
2112;472;1
472;2335;1
2335;1425;3
1835;734;1
2223;632;1
632;2223;1
3015;1550;1
1550;3015;1
1139;1919;2
1919;1089;3
1089;1919;3
1919;1139;2
1712;2919;4
2919;734;8
1715;3098;3
3098;1554;6
1554;1393;1
2573;2760;1
2260;1542;1
1542;636;1
636;2833;1
2833;1393;2
1393;2033;3
2033;3098;4
3098;1715;3
5265;5264;1
1393;2994;4
2994;1492;1
451;2974;1
2974;85099;1
1393;1554;1
858;1715;9
1393;3098;7
2994;1393;4
5264;5265;1
1712;2147;2
2147;1690;2
1690;951;2
2111;975;3
1720;2046;4
2046;1039;1
975;2111;3
2111;2589;1
1584;1720;6
2218;2916;2
641;2850;1
2919;2147;7
3016;2920;1
2920;2147;3
1940;1202;1
2147;3016;5
3016;632;2
1202;1940;1
997;1201;1
2919;1712;4
1201;2919;3
2919;1712;7
1712;3099;3
1690;2910;1
951;2920;1
5357;5359;1
5151;5361;1
5376;5378;1
1728;1715;2
1715;1707;1
5048;5264;2
5264;5266;2
1707;1715;1
1715;1728;2
5053;1707;1
5266;5264;2
5264;5048;2
1707;5053;1
1712;2919;5
5073;5065;6
5051;5348;1
5348;5350;1
5350;5352;1
5352;5093;2
5093;5359;4
5151;5152;2
5152;5364;2
5366;5154;1
5154;734;8
5378;5376;1
5361;5151;1
5048;5314;5
5314;5318;3
5323;5325;1
734;5154;8
5154;5366;1
5364;5152;2
5152;5151;2
5359;5093;4
5093;5352;2
5352;5350;1
5350;5348;1
5348;5051;1
5065;5073;6
5088;5090;1
5091;1698;1
5343;5338;4
5338;5048;2
5095;5094;1
5325;5323;1
5318;5314;3
5314;5048;5
5094;5095;1
5095;5097;1
5359;5357;1
5093;5353;1
5154;5370;2
5370;734;5
734;5370;5
5370;5154;2
5097;5095;1
5048;5338;2
5338;5343;4
5353;5093;1
455;1846;1
766;2033;2
2033;1715;7
2919;1712;5
1728;3098;2
3098;766;7
1393;2713;3
2713;461;1
461;2793;3
2793;3012;1
3012;1253;6
3014;2019;1
2019;3014;1
3099;1712;3
2147;2920;3
2920;3016;1
654;451;1
1554;3098;6
1716;779;6
3053;1858;1
766;3098;6
2046;3380;1
2981;193;2
367;1721;6
451;654;1
1253;3012;6
3012;2793;1
2793;461;3
461;2713;1
2713;1393;3
3098;1728;2
3380;2046;1
1712;1708;3
3098;766;6
1721;779;5
1404;1917;1
1917;1404;1
2611;1037;1
1712;2919;6
1708;1712;3
1712;1720;1
1720;1584;2
1134;2111;2
2111;937;3
1584;1134;2
1134;2211;2
2211;1202;2
1202;2112;3
1645;1005;2
3016;1712;6
734;1085;3
766;3098;7
1554;2033;1
2987;3098;2
3016;1712;7
1808;1473;1
2015;1128;1
2419;2437;2
1253;2290;3
2290;3012;2
3098;2345;1
2920;2147;7
193;2973;3
2973;1858;4
1858;3053;1
779;1716;6
1202;374;1
2211;1626;1
2111;1134;2
937;1584;1
1721;2923;2
2923;779;2
734;2919;8
2437;2919;5
1134;2164;1
1720;937;4
1158;873;3
1230;1841;1
