,source,target,size
0,58,1717.0,102
1,58,1721.0,84
2,365,1550.0,19
3,365,1632.0,25
4,367,779.0,21
5,367,3053.0,57
6,374,1040.0,40
7,380,1690.0,144
8,380,2910.0,210
9,381,2345.0,96
10,381,3119.0,133
11,388,807.0,104
12,388,1937.0,78
13,397,1808.0,34
14,397,2697.0,24
15,401,3222.0,10
16,405,1029.0,180
17,405,1046.0,96
18,406,1858.0,6
19,407,615.0,20
20,407,1863.0,14
21,424,2223.0,7
22,424,2235.0,14
23,438,1698.0,12
24,451,654.0,20
25,451,1492.0,57
26,451,2974.0,55
27,453,905.0,127
28,453,1841.0,139
29,457,975.0,31
30,457,2790.0,11
31,461,1259.0,20
32,461,2713.0,9
33,461,2793.0,9
34,472,866.0,12
35,472,2336.0,36
36,576,1634.0,8
37,576,2603.0,8
38,588,746.0,28
39,588,2143.0,11
40,615,407.0,14
41,615,1188.0,20
42,618,1139.0,21
43,618,1228.0,25
44,618,2993.0,20
45,632,2223.0,14
46,632,2697.0,34
47,632,3016.0,15
48,632,3183.0,36
49,632,3596.0,14
50,634,2337.0,44
51,635,1393.0,22
52,635,1853.0,22
53,636,2636.0,36
54,636,2906.0,22
55,642,768.0,22
56,642,1604.0,22
57,654,451.0,15
58,654,2250.0,20
59,698,406.0,6
60,710,2487.0,125
61,710,2520.0,140
62,725,1645.0,24
63,725,2112.0,12
64,731,438.0,12
65,734,1229.0,55
66,734,1974.0,24
67,734,2437.0,33
68,734,2603.0,8
69,734,5378.0,18
70,736,737.0,11
71,736,2143.0,28
72,737,736.0,28
73,737,1039.0,11
74,746,588.0,11
75,746,2518.0,11
76,746,2790.0,28
77,766,1393.0,303
78,766,1554.0,130
79,766,3098.0,38
80,766,5264.0,44
81,768,642.0,22
82,768,3101.0,22
83,779,367.0,50
84,779,1386.0,86
85,779,1721.0,21
86,780,1187.0,86
87,780,2923.0,127
88,799,1085.0,36
89,799,2419.0,24
90,801,1542.0,11
91,801,2260.0,47
92,807,388.0,78
93,807,1111.0,7
94,807,1550.0,27
95,807,1551.0,104
96,811,1998.0,36
97,811,2836.0,48
98,813,3038.0,36
99,813,3114.0,12
100,819,899.0,98
101,819,2696.0,94
102,819,5046.0,65
103,858,1554.0,200
104,858,2033.0,120
105,866,472.0,36
106,866,2112.0,12
107,872,1698.0,6
108,873,899.0,94
109,873,1208.0,98
110,883,892.0,11
111,883,932.0,22
112,891,3074.0,44
113,892,883.0,22
114,892,2919.0,11
115,899,819.0,94
116,899,873.0,98
117,905,453.0,127
118,905,1964.0,91
119,905,1998.0,48
120,926,1940.0,36
121,932,883.0,11
122,932,1201.0,22
123,934,1704.0,18
124,934,2513.0,25
125,937,1134.0,87
126,937,2686.0,18
127,947,1761.0,12
128,948,1393.0,20
129,948,2757.0,30
130,950,1193.0,44
131,951,2910.0,144
132,951,2919.0,219
133,951,2920.0,13
134,964,3123.0,11
135,975,457.0,11
136,975,2111.0,14
137,975,2651.0,17
138,997,2763.0,22
139,997,3372.0,11
140,1005,1639.0,36
141,1005,1645.0,12
142,1029,405.0,96
143,1029,1413.0,180
144,1037,2046.0,24
145,1039,737.0,28
146,1039,2046.0,11
147,1040,1202.0,40
148,1046,405.0,150
149,1046,1393.0,126
150,1066,1937.0,91
151,1066,1964.0,91
152,1085,799.0,24
153,1085,2419.0,33
154,1085,2437.0,91
155,1087,1158.0,57
156,1089,2275.0,8
157,1093,1528.0,20
158,1093,1739.0,14
159,1099,1473.0,24
160,1099,1808.0,24
161,1111,807.0,14
162,1111,2235.0,7
163,1119,2982.0,66
164,1128,1151.0,24
