,source,target,size
0,58,1717.0,147
1,58,1721.0,159
2,193,2973.0,7
3,193,2981.0,94
4,365,1550.0,74
5,365,1632.0,36
6,367,779.0,77
7,367,1721.0,10
8,367,3053.0,22
9,374,1040.0,27
10,374,2211.0,45
11,380,1690.0,287
12,380,2910.0,214
13,381,2345.0,163
14,381,3119.0,117
15,388,807.0,104
16,388,1937.0,130
17,397,1808.0,47
18,397,2697.0,71
19,400,401.0,16
20,400,3222.0,19
21,401,872.0,44
22,401,3222.0,35
23,405,1029.0,162
24,405,1046.0,285
25,406,698.0,24
26,407,615.0,34
27,407,1863.0,54
28,424,2223.0,31
29,424,2235.0,30
30,438,731.0,35
31,438,1698.0,44
32,451,654.0,45
33,451,1492.0,162
34,451,2974.0,91
35,453,905.0,165
36,453,1841.0,195
37,455,1846.0,18
38,455,2573.0,25
39,455,2808.0,58
40,457,975.0,28
41,457,2790.0,45
42,461,1259.0,30
43,461,2713.0,28
44,461,2793.0,18
45,472,866.0,72
46,472,2336.0,72
47,576,1634.0,24
48,576,2603.0,32
49,588,746.0,45
50,588,2143.0,67
51,615,407.0,54
52,615,1188.0,34
53,618,1139.0,33
54,618,1228.0,17
55,618,2993.0,123
56,632,2223.0,30
57,632,2697.0,47
58,632,3016.0,62
59,632,3183.0,84
60,632,3596.0,49
61,634,2337.0,76
62,634,3074.0,185
63,635,1393.0,60
64,635,1853.0,47
65,636,2636.0,47
66,636,2833.0,9
67,636,2906.0,60
68,641,2850.0,6
69,641,2916.0,17
70,642,768.0,163
71,642,1604.0,98
72,654,451.0,55
73,654,2250.0,45
74,698,3032.0,24
75,710,2487.0,200
76,710,2520.0,188
77,725,1645.0,36
78,725,2112.0,57
79,731,438.0,44
80,731,872.0,35
81,734,1085.0,10
82,734,1229.0,33
83,734,1974.0,137
84,734,2437.0,67
85,734,2603.0,114
86,734,2919.0,4
87,734,5154.0,13
88,734,5378.0,72
89,736,737.0,67
90,736,2143.0,45
91,737,736.0,45
92,737,1039.0,67
93,746,588.0,67
94,746,2790.0,39
95,766,1393.0,303
96,766,1554.0,306
97,766,2033.0,10
98,766,3098.0,29
99,766,5264.0,78
100,768,642.0,98
101,768,3101.0,163
102,779,367.0,22
103,779,1386.0,168
104,779,1716.0,7
105,779,1721.0,63
106,780,1187.0,168
107,780,2923.0,138
108,799,1085.0,48
109,799,2419.0,77
110,801,1542.0,60
111,801,2260.0,47
112,807,388.0,130
113,807,905.0,16
114,807,1066.0,17
115,807,1111.0,31
116,807,1550.0,14
117,807,1551.0,104
118,807,3015.0,16
119,811,1998.0,84
120,811,2836.0,48
121,813,3038.0,72
122,813,3114.0,72
123,819,899.0,120
124,819,2696.0,132
125,819,5046.0,104
126,858,1554.0,180
127,858,1715.0,14
128,858,2033.0,270
129,866,472.0,72
130,866,2112.0,72
131,872,401.0,35
132,872,731.0,44
133,873,899.0,132
134,873,1208.0,120
135,873,2696.0,11
136,883,892.0,75
137,883,932.0,44
138,891,2930.0,163
139,891,3074.0,76
140,892,883.0,44
141,892,2919.0,75
142,899,819.0,132
143,899,873.0,120
144,905,453.0,195
145,905,1841.0,33
146,905,1964.0,117
147,905,1998.0,48
148,926,1940.0,33
149,926,2763.0,82
150,932,883.0,75
151,932,1201.0,44
152,934,1704.0,68
153,934,2513.0,72
154,937,1134.0,70
155,937,1584.0,7
156,937,1969.0,54
157,937,2686.0,59
158,947,1754.0,35
159,947,1761.0,44
160,948,1393.0,30
161,948,2757.0,20
162,950,1193.0,76
163,950,2337.0,185
164,951,2910.0,287
165,951,2919.0,214
166,964,2518.0,11
167,975,457.0,45
168,975,2651.0,28
169,997,1201.0,19
170,997,2763.0,44
171,997,3372.0,63
172,1005,725.0,12
173,1005,1639.0,24
174,1005,1645.0,45
175,1025,2573.0,20
176,1029,405.0,315
177,1029,1413.0,162
178,1037,2046.0,45
179,1037,3095.0,40
180,1039,737.0,45
181,1039,2046.0,67
182,1040,374.0,40
183,1040,1202.0,27
184,1046,405.0,162
185,1046,1393.0,285
186,1066,905.0,17
187,1066,1937.0,104
188,1066,1964.0,117
189,1085,799.0,77
190,1085,2419.0,57
191,1085,2437.0,81
