,source,target,size
0,58,1717.0,126
1,58,1721.0,105
2,193,2981.0,39
3,365,1550.0,50
4,365,1632.0,43
5,367,779.0,21
6,367,3053.0,68
7,380,1690.0,180
8,380,2910.0,180
9,381,2345.0,114
10,381,3119.0,114
11,388,807.0,78
12,388,1937.0,78
13,397,1808.0,46
14,397,2697.0,47
15,401,872.0,20
16,401,3222.0,30
17,405,1029.0,180
18,405,1046.0,150
19,406,698.0,13
20,406,1858.0,12
21,407,615.0,48
22,407,1863.0,42
23,424,2223.0,23
24,424,2235.0,23
25,438,731.0,30
26,438,1698.0,30
27,451,654.0,30
28,451,1492.0,91
29,451,2974.0,61
30,453,905.0,126
31,453,1841.0,114
32,455,2573.0,38
33,455,2808.0,38
34,457,975.0,11
35,457,2790.0,11
36,461,1259.0,10
37,461,2713.0,18
38,461,2793.0,9
39,472,866.0,54
40,472,2335.0,9
41,472,2336.0,36
42,576,1634.0,16
43,576,2603.0,24
44,588,746.0,36
45,588,2143.0,33
46,615,407.0,42
47,615,1188.0,48
48,618,1139.0,32
49,618,1228.0,31
50,618,2993.0,66
51,632,2223.0,23
52,632,2697.0,46
53,632,3016.0,29
54,632,3183.0,36
55,632,3596.0,35
56,634,2337.0,130
57,634,3074.0,66
58,635,1393.0,33
59,635,1853.0,61
60,636,2636.0,47
61,636,2906.0,33
62,641,2916.0,9
63,641,3071.0,9
64,642,768.0,66
65,642,1604.0,130
66,654,451.0,30
67,654,2250.0,30
68,698,406.0,12
69,698,3032.0,13
70,710,2487.0,150
71,710,2520.0,150
72,725,1645.0,36
73,725,2112.0,33
74,731,438.0,30
75,731,872.0,20
76,734,1229.0,33
77,734,1974.0,60
78,734,2437.0,44
79,734,2603.0,72
80,734,5154.0,13
81,734,5370.0,14
82,734,5378.0,72
83,736,737.0,33
84,736,2143.0,36
85,737,736.0,36
86,737,1039.0,33
87,746,588.0,33
88,746,2518.0,11
89,746,2790.0,33
90,766,1393.0,284
91,766,1554.0,200
92,766,3098.0,19
93,766,5264.0,47
94,768,642.0,130
95,768,3101.0,66
96,779,367.0,61
97,779,1386.0,121
98,779,1721.0,14
99,780,1187.0,121
100,780,2923.0,126
101,799,1085.0,56
102,799,2419.0,36
103,801,1542.0,22
104,801,2260.0,47
105,807,388.0,78
106,807,1111.0,23
107,807,1550.0,31
108,807,1551.0,78
109,807,3015.0,16
110,811,1998.0,36
111,811,2836.0,60
112,813,3038.0,36
113,813,3114.0,54
114,819,899.0,87
115,819,2696.0,93
116,819,5046.0,65
117,858,1554.0,180
118,858,2033.0,180
119,866,472.0,36
120,866,2112.0,54
121,872,401.0,20
122,872,731.0,20
123,873,899.0,93
124,873,1208.0,87
125,883,892.0,33
126,883,932.0,64
127,891,2930.0,44
128,891,3074.0,130
129,892,883.0,64
130,892,2919.0,33
131,899,819.0,93
132,899,873.0,87
133,905,453.0,102
134,905,1066.0,12
135,905,1964.0,78
136,905,1998.0,60
137,926,1940.0,50
138,926,2763.0,22
139,932,883.0,33
140,932,1201.0,64
141,934,1153.0,6
142,934,1704.0,36
143,934,2513.0,52
144,937,1134.0,86
145,937,1969.0,28
146,937,2686.0,27
147,947,1754.0,30
148,947,1761.0,30
149,948,1393.0,10
150,948,2757.0,20
151,950,1193.0,108
152,950,2337.0,66
153,951,2910.0,180
154,951,2919.0,180
155,964,2518.0,11
156,964,3123.0,11
157,975,457.0,11
158,975,2651.0,11
159,997,2763.0,64
160,997,3372.0,33
161,1005,1639.0,35
162,1005,1645.0,21
163,1029,405.0,180
164,1029,1413.0,180
165,1037,2046.0,36
166,1037,3095.0,32
167,1039,737.0,36
168,1039,2046.0,33
169,1046,405.0,150
170,1046,1393.0,180
171,1066,807.0,12
172,1066,1937.0,65
173,1066,1964.0,78
174,1085,799.0,36
175,1085,2419.0,33
176,1085,2437.0,89
177,1087,1158.0,87
178,1087,85053.0,27
179,1089,2275.0,24
180,1093,1528.0,48
181,1093,1739.0,42
182,1099,1473.0,36
183,1099,1808.0,47
184,1100,2218.0,9
185,1100,2504.0,9
186,1111,807.0,23
187,1111,2235.0,23
188,1119,2612.0,66
189,1119,2982.0,88
190,1128,1151.0,47
191,1128,2437.0,36
192,1134,937.0,69
193,1134,1584.0,12
194,1134,2111.0,8
195,1134,2211.0,36
196,1134,2589.0,36
197,1139,618.0,35
198,1139,1225.0,38
199,1139,1263.0,16
200,1139,1846.0,20
201,1139,2151.0,50
202,1151,1128.0,36
203,1151,2015.0,47
204,1153,1704.0,43
205,1153,2894.0,42
206,1158,1087.0,93
207,1158,3222.0,139
208,1174,1618.0,114
209,1174,3119.0,114
210,1187,780.0,126
211,1187,1721.0,105
212,1188,615.0,42
213,1188,2481.0,48
214,1189,1225.0,38
215,1189,1846.0,38
216,1193,950.0,66
217,1193,1761.0,108
218,1201,932.0,33
219,1201,3372.0,64
220,1202,1940.0,57
221,1202,2112.0,36
222,1202,2211.0,33
223,1208,873.0,93
224,1208,3222.0,70
225,1225,1139.0,38
226,1225,1189.0,38
227,1228,618.0,31
228,1228,1258.0,50
229,1229,734.0,33
230,1229,2099.0,33
231,1230,1581.0,219
232,1230,2696.0,192
233,1253,3012.0,9
234,1258,1228.0,50
235,1258,2151.0,50
236,1259,461.0,20
237,1259,2713.0,10
238,1263,1139.0,24
239,1263,3013.0,16
240,1311,1585.0,36
241,1311,2640.0,39
242,1329,1575.0,50
243,1329,2993.0,43
244,1386,779.0,126
245,1386,2923.0,121
246,1393,635.0,61
247,1393,766.0,264
248,1393,948.0,20
249,1393,1046.0,180
250,1393,2713.0,9
251,1393,2994.0,64
252,1402,1858.0,36
253,1402,2934.0,36
254,1404,1917.0,13
255,1404,3032.0,12
256,1407,1467.0,24
257,1407,2934.0,36
258,1413,1029.0,180
259,1413,2994.0,180
260,1415,3109.0,11
261,1425,1835.0,27
262,1425,3038.0,54
263,1467,1407.0,24
264,1467,3095.0,36
265,1473,1099.0,47
266,1473,2015.0,36
267,1492,451.0,91
268,1492,2994.0,80
269,1528,1093.0,42
270,1528,1949.0,48
271,1542,801.0,36
272,1542,2636.0,22
273,1550,365.0,43
274,1550,807.0,7
275,1550,1551.0,78
276,1550,1632.0,21
277,1550,1841.0,23
278,1550,2982.0,66
279,1550,3015.0,16
280,1551,807.0,78
281,1551,1550.0,78
282,1554,766.0,212
283,1554,858.0,180
284,1554,1393.0,28
285,1554,3098.0,30
286,1575,1329.0,43
287,1575,1934.0,50
288,1581,1230.0,213
289,1581,1841.0,205
290,1584,1134.0,36
291,1584,1720.0,30
292,1584,2686.0,44
293,1584,2820.0,150
294,1585,1311.0,39
295,1585,1682.0,36
296,1593,2260.0,33
297,1604,642.0,66
298,1604,2930.0,108
299,1618,1174.0,114
300,1618,2909.0,95
301,1632,365.0,50
302,1632,1550.0,23
303,1632,1934.0,43
304,1632,2993.0,32
305,1634,576.0,16
306,1634,3022.0,16
307,1639,1005.0,21
308,1645,725.0,21
309,1645,1005.0,24
310,1682,1585.0,39
311,1682,2889.0,36
