,source,target,size
0,58,1717.0,105
1,58,1721.0,84
2,193,2981.0,13
3,365,1550.0,19
4,365,1632.0,38
5,367,779.0,21
6,367,3053.0,21
7,374,1040.0,7
8,374,2211.0,7
9,380,1690.0,180
10,380,2910.0,180
11,381,2345.0,114
12,381,3119.0,114
13,388,807.0,52
14,388,1937.0,39
15,397,1808.0,12
16,397,2697.0,12
17,405,1029.0,180
18,405,1046.0,150
19,406,1858.0,6
20,407,615.0,14
21,407,1863.0,14
22,424,2223.0,22
23,424,2235.0,21
24,438,731.0,10
25,451,654.0,30
26,451,1492.0,90
27,451,2974.0,61
28,453,905.0,76
29,453,1841.0,88
30,455,2573.0,38
31,457,975.0,17
32,457,2790.0,17
33,461,1259.0,10
34,472,866.0,36
35,472,2336.0,18
36,576,1634.0,16
37,576,2603.0,16
38,588,746.0,11
39,615,407.0,14
40,615,1188.0,14
41,618,1139.0,22
42,618,1228.0,19
43,618,2993.0,23
44,632,2223.0,21
45,632,2697.0,12
46,632,3016.0,15
47,632,3183.0,36
48,632,3596.0,21
49,634,2337.0,66
50,634,3074.0,66
51,642,768.0,66
52,642,1604.0,66
53,654,451.0,30
54,654,2250.0,30
55,698,406.0,6
56,710,2487.0,140
57,710,2520.0,150
58,725,1645.0,12
59,725,2112.0,12
60,734,1229.0,11
61,734,1974.0,12
62,734,2437.0,19
63,734,2603.0,60
64,734,5154.0,13
65,734,5378.0,41
66,736,2143.0,11
67,737,736.0,11
68,766,1393.0,243
69,766,1554.0,200
70,766,3098.0,19
71,766,5264.0,44
72,768,642.0,66
73,768,3101.0,66
74,779,367.0,14
75,779,1386.0,105
76,779,1721.0,14
77,780,1187.0,105
78,780,2923.0,105
79,799,1085.0,12
80,807,388.0,39
81,807,1111.0,22
82,807,1550.0,21
83,807,1551.0,52
84,811,1998.0,36
85,811,2836.0,36
86,813,3038.0,18
87,813,3114.0,36
88,819,899.0,81
89,819,2696.0,81
90,819,5046.0,65
91,858,1554.0,180
92,858,2033.0,180
93,866,472.0,18
94,866,2112.0,36
95,873,899.0,81
96,873,1208.0,81
97,883,892.0,33
98,883,932.0,36
99,891,2930.0,44
100,891,3074.0,66
101,892,883.0,36
102,892,2919.0,33
103,899,819.0,81
104,899,873.0,81
105,905,453.0,76
106,905,1964.0,52
107,905,1998.0,36
108,926,1940.0,25
109,926,2763.0,22
110,932,883.0,33
111,932,1201.0,36
112,934,1704.0,54
113,934,2513.0,36
114,937,1134.0,21
115,937,1969.0,14
116,937,2686.0,9
117,947,1754.0,10
118,948,1393.0,10
119,950,1193.0,66
120,950,2337.0,66
121,951,2910.0,180
122,951,2919.0,180
123,975,457.0,17
124,975,2651.0,17
125,997,2763.0,36
126,997,3372.0,33
127,1005,1639.0,24
128,1005,1645.0,24
129,1029,405.0,180
130,1029,1413.0,180
131,1037,2046.0,12
132,1037,3095.0,24
133,1039,737.0,11
134,1040,374.0,7
135,1040,1202.0,7
136,1046,405.0,150
137,1046,1393.0,180
138,1066,1937.0,39
139,1066,1964.0,52
140,1085,2419.0,19
141,1085,2437.0,31
142,1087,1158.0,81
143,1087,85053.0,27
144,1089,2275.0,24
145,1093,1528.0,14
146,1093,1739.0,14
147,1099,1473.0,12
148,1099,1808.0,12
149,1111,807.0,21
150,1111,2235.0,22
151,1119,2612.0,66
152,1119,2982.0,66
153,1128,1151.0,12
154,1128,2437.0,12
155,1134,937.0,23
156,1134,1584.0,12
157,1134,1626.0,7
158,1134,2211.0,12
159,1134,2589.0,9
160,1139,618.0,23
161,1139,1225.0,38
162,1139,1263.0,32
163,1139,1846.0,22
164,1151,1128.0,12
165,1151,2015.0,12
166,1153,1704.0,36
167,1153,2894.0,54
168,1158,1087.0,81
169,1158,3222.0,103
170,1174,1618.0,114
171,1174,3119.0,114
172,1187,780.0,105
173,1187,1721.0,84
174,1188,615.0,14
175,1188,2481.0,14
176,1189,1846.0,38
177,1193,950.0,66
178,1193,1761.0,66
179,1201,932.0,33
180,1201,3372.0,36
181,1202,1040.0,7
182,1202,1940.0,60
183,1202,2112.0,12
184,1202,2211.0,12
185,1202,3109.0,11
186,1208,873.0,81
187,1208,3222.0,68
188,1225,1189.0,38
189,1228,1258.0,38
190,1229,734.0,11
191,1229,2099.0,11
192,1230,1581.0,197
193,1230,2696.0,186
194,1258,2151.0,38
195,1259,2713.0,10
196,1263,1139.0,16
197,1263,3013.0,32
198,1311,1585.0,13
199,1311,2640.0,13
200,1329,1575.0,19
201,1329,2993.0,38
202,1386,779.0,105
203,1386,2923.0,105
204,1393,766.0,252
205,1393,1046.0,180
206,1393,2994.0,53
207,1402,1858.0,12
208,1402,2934.0,12
209,1404,3032.0,6
210,1407,2934.0,12
211,1413,1029.0,180
212,1413,2994.0,180
213,1415,2881.0,11
214,1425,1835.0,18
215,1425,3038.0,36
216,1467,1407.0,12
217,1467,3095.0,12
218,1473,1099.0,12
219,1473,2015.0,12
220,1492,451.0,91
221,1492,2994.0,78
222,1528,1093.0,14
223,1528,1949.0,14
224,1550,365.0,38
225,1550,807.0,14
226,1550,1551.0,39
227,1550,1632.0,11
228,1550,1841.0,12
229,1550,2982.0,66
230,1550,3015.0,8
231,1551,807.0,39
232,1551,1550.0,52
233,1554,766.0,200
234,1554,858.0,180
235,1554,3098.0,30
236,1575,1329.0,38
237,1575,1934.0,19
238,1581,1230.0,186
239,1581,1841.0,183
240,1584,1720.0,24
241,1584,2686.0,9
242,1584,2820.0,140
243,1585,1311.0,13
244,1585,1682.0,13
245,1604,642.0,66
246,1604,2930.0,44
247,1618,1174.0,114
248,1618,2909.0,95
249,1626,1134.0,7
250,1626,2164.0,7
251,1632,365.0,19
252,1632,1550.0,12
253,1632,1934.0,38
254,1632,2993.0,22
255,1634,576.0,16
256,1634,3022.0,16
257,1639,1005.0,24
258,1645,725.0,12
259,1645,1005.0,12
260,1682,1585.0,13
261,1682,2889.0,13
262,1688,2520.0,140
263,1688,2604.0,150
264,1690,380.0,150
265,1690,3061.0,150
266,1698,438.0,10
267,1698,5092.0,57
268,1698,5094.0,57
269,1704,934.0,36
270,1704,1153.0,54
271,1707,1713.0,228
272,1707,1715.0,51
273,1707,5048.0,267
274,1707,5053.0,25
275,1707,5054.0,366
276,1707,5056.0,203
277,1707,5065.0,264
278,1708,3098.0,275
279,1708,3099.0,294
280,1711,1712.0,136
281,1711,1715.0,239
282,1711,2716.0,340
283,1712,1711.0,116
284,1712,1720.0,44
285,1712,1728.0,61
286,1712,2147.0,50
287,1712,2919.0,14
288,1712,3099.0,7
289,1712,3169.0,105
290,1713,1707.0,218
291,1713,1714.0,522
292,1713,3099.0,294
293,1714,1713.0,512
294,1714,1719.0,522
295,1715,1707.0,51
296,1715,1711.0,248
297,1715,1728.0,44
298,1715,3098.0,40
299,1715,3099.0,14
300,1716,1721.0,21
301,1717,58.0,105
302,1717,3169.0,105
303,1718,1720.0,190
304,1718,3169.0,294
305,1718,3468.0,499
306,1719,1714.0,512
307,1719,1723.0,492
308,1720,937.0,12
309,1720,1584.0,21
310,1720,1712.0,24
311,1720,1718.0,180
312,1720,2046.0,11
313,1720,2487.0,150
314,1721,58.0,105
315,1721,779.0,14
316,1721,1187.0,84
317,1721,1716.0,21
318,1723,1719.0,482
319,1723,3468.0,492
320,1728,1712.0,62
321,1728,1715.0,44
322,1728,1841.0,28
323,1739,1093.0,14
324,1739,2481.0,14
325,1754,1698.0,10
326,1761,947.0,10
327,1761,1193.0,66
328,1761,1930.0,66
329,1808,397.0,12
330,1808,1099.0,12
331,1835,1425.0,18
332,1835,2603.0,18
333,1841,453.0,88
334,1841,1550.0,11
335,1841,1581.0,172
336,1841,1728.0,18
337,1841,1842.0,66
338,1841,2716.0,351
339,1842,1841.0,66
340,1842,3101.0,66
341,1846,1139.0,11
342,1846,2760.0,22
343,1846,2808.0,38
344,1848,2419.0,12
345,1858,1402.0,12
346,1858,1899.0,12
347,1858,2036.0,21
348,1863,407.0,14
349,1863,2301.0,14
350,1899,1858.0,12
351,1899,2391.0,12
352,1917,1404.0,6
353,1917,2909.0,114
354,1919,2632.0,24
355,1919,3013.0,16
356,1930,1761.0,66
357,1930,2612.0,66
358,1934,1575.0,38
359,1934,1632.0,19
360,1937,388.0,52
361,1937,1066.0,39
362,1940,926.0,22
363,1940,1202.0,60
364,1940,2392.0,24
365,1949,1528.0,14
366,1964,905.0,52
367,1964,1066.0,52
368,1969,1949.0,14
369,1974,734.0,12
370,1974,2437.0,12
371,1998,811.0,36
372,1998,905.0,36
373,2015,1151.0,12
374,2015,1473.0,12
375,2019,2391.0,12
376,2033,858.0,180
377,2033,2987.0,150
378,2035,2894.0,36
379,2036,1858.0,21
380,2036,3053.0,21
381,2046,1037.0,24
382,2046,1039.0,11
383,2046,2301.0,14
384,2046,3380.0,13
385,2111,2564.0,17
386,2111,2589.0,9
387,2112,725.0,23
388,2112,866.0,18
389,2112,1202.0,12
390,2112,2513.0,36
391,2138,2640.0,13
392,2138,3134.0,13
393,2143,588.0,11
394,2147,1712.0,44
395,2147,2919.0,34
396,2147,2920.0,6
397,2147,3016.0,10
398,2147,3061.0,180
399,2147,3507.0,294
400,2151,1139.0,38
401,2164,1626.0,7
402,2164,2211.0,7
403,2211,374.0,7
404,2211,1134.0,12
405,2211,1202.0,12
406,2211,2164.0,7
407,2218,2760.0,12
408,2223,424.0,21
409,2223,632.0,22
410,2223,2836.0,36
411,2223,3183.0,36
412,2235,424.0,22
413,2235,1111.0,21
414,2250,654.0,30
415,2275,1089.0,24
416,2275,2477.0,24
417,2301,1863.0,14
418,2301,2046.0,14
419,2335,2336.0,36
420,2335,3114.0,18
421,2336,472.0,36
422,2336,2335.0,18
423,2337,634.0,66
424,2337,950.0,66
425,2345,381.0,114
426,2345,2987.0,180
427,2345,3098.0,294
428,2391,1899.0,12
429,2391,2019.0,12
430,2392,1940.0,24
431,2392,3022.0,24
432,2419,799.0,12
433,2419,1085.0,19
434,2419,2919.0,11
435,2435,2564.0,17
436,2435,2651.0,17
437,2437,734.0,19
438,2437,1085.0,19
439,2437,1128.0,12
440,2437,1974.0,12
441,2477,2275.0,24
442,2477,2632.0,24
443,2481,1188.0,14
444,2481,1739.0,14
445,2487,710.0,150
446,2487,1720.0,140
447,2513,934.0,54
448,2513,2112.0,36
449,2520,710.0,140
450,2520,1688.0,150
451,2564,2111.0,17
452,2564,2435.0,17
453,2573,2760.0,38
454,2589,1134.0,9
455,2589,2111.0,9
456,2603,576.0,24
457,2603,734.0,52
458,2603,1835.0,18
459,2604,1688.0,140
460,2604,2820.0,125
461,2611,3134.0,13
462,2611,3380.0,13
463,2612,1119.0,66
464,2612,1930.0,66
465,2612,2982.0,14
466,2632,1919.0,16
467,2632,2477.0,24
468,2640,1311.0,13
469,2640,2138.0,13
470,2651,975.0,17
471,2651,2435.0,17
472,2686,937.0,9
473,2686,1584.0,9
474,2696,819.0,81
475,2696,1230.0,186
476,2696,1841.0,6
477,2696,3222.0,6
478,2696,5052.0,129
479,2697,397.0,12
480,2697,632.0,12
481,2713,3018.0,10
482,2716,1711.0,355
483,2716,1841.0,340
484,2757,948.0,10
485,2760,1846.0,11
486,2760,2916.0,33
487,2763,926.0,36
488,2763,997.0,33
489,2790,457.0,17
490,2808,455.0,38
491,2820,1584.0,150
492,2820,2604.0,115
493,2836,811.0,36
494,2836,2223.0,36
495,2850,2916.0,23
496,2881,2112.0,11
497,2889,1682.0,13
498,2894,1153.0,36
499,2894,2035.0,54
500,2909,1618.0,95
501,2909,1917.0,114
502,2910,380.0,180
503,2910,951.0,180
504,2916,2218.0,12
505,2916,2760.0,11
506,2916,2850.0,33
507,2919,892.0,36
508,2919,951.0,180
509,2919,2147.0,22
510,2919,2419.0,11
511,2919,2920.0,21
512,2919,3048.0,12
513,2920,2919.0,21
514,2920,3016.0,6
515,2920,3594.0,21
516,2923,780.0,105
517,2923,1386.0,105
518,2930,891.0,44
519,2930,1604.0,66
520,2934,1402.0,12
521,2973,2889.0,13
522,2974,451.0,60
523,2974,85099.0,61
524,2981,2973.0,13
525,2982,1119.0,66
526,2982,1550.0,80
527,2987,2033.0,150
528,2987,2345.0,180
529,2993,618.0,41
530,2993,1329.0,19
531,2993,1632.0,23
532,2994,1393.0,51
533,2994,1413.0,180
534,2994,1492.0,91
535,3013,1263.0,16
536,3013,1919.0,24
537,3014,2019.0,12
538,3015,807.0,8
539,3016,632.0,16
540,3016,2147.0,15
541,3016,3594.0,21
542,3016,3595.0,21
543,3018,2757.0,10
544,3022,1634.0,24
545,3022,2392.0,24
546,3025,2099.0,11
547,3032,698.0,6
548,3038,813.0,36
549,3038,1425.0,18
550,3048,1848.0,12
551,3053,367.0,21
552,3053,2036.0,21
553,3061,1690.0,150
554,3061,2147.0,180
555,3074,634.0,66
556,3074,891.0,66
557,3095,1037.0,12
558,3095,1467.0,24
559,3098,1554.0,30
560,3098,1708.0,275
561,3098,1715.0,50
562,3098,1728.0,9
563,3098,2345.0,294
564,3099,1708.0,294
565,3099,1712.0,14
566,3099,1713.0,294
567,3099,1715.0,7
568,3101,768.0,66
569,3101,1842.0,66
