stop_id,stop_name
1863,MOTTA S.DAMIANO
5072,BOVISIO MASCIAGO-MOMBELLO
5071,VAREDO
1949,ORIO LITTA
654,BISUSCHIO-VIGGIU'
3015,VERCURAGO S.GIROLAMO
5051,EDOLO
2033,PARABIAGO
3123,VOGHERA
461,ARONA
5096,CASLINO D'ERBA
2260,PORTO VALTRAVAGLIA
365,ABBADIA LARIANA
866,CANNETO SULL'OGLIO
1639,MANTOVA
5062,CESATE
1202,CREMONA
1721,MILANO S.CRISTOFORO
2151,PIONA
1718,MILANO PORTA VITTORIA
1739,MIRADOLO TERME
1711,MILANO GRECO PIRELLI
1848,MORENGO BARIANO
2636,SANGIANO
2713,SESTO CALENDE
1407,GARLASCO
5073,CESANO MADERNO
1713,MILANO LANCETTI
3014,VERCELLI
819,CAMNAGO-LENTATE
2910,TRECELLA
951,CASSANO D'ADDA
5094,ERBA
5320,VARESE CASBENO
1225,DELEBIO
2290,PREMOSELLO CHIOVENDA
2487,S.DONATO MILANESE
725,BOZZOLO
2419,ROMANO
367,ABBIATEGRASSO
5364,MARONE-ZONE
5316,VENEGONO SUPERIORE-CASTIGLIONE
5323,GAVIRATE
2793,STRESA
1188,CORTEOLONA
5409,CORMANO-CUSANO MILANINO
5338,LOMAZZO
1717,MILANO PORTA ROMANA
2435,ROTTOFRENO
5265,FERNO-LONATE POZZOLO
3061,VIGNATE
3380,SAIRANO
737,BRESSANA BOTTARONE
2392,ROBECCO-PONTEVICO
1253,DOMODOSSOLA
3119,VITTUONE ARLUNO
3012,VERBANIA-PALLANZA
1973,OSPITALETTO MANTOVANO
3095,VILLANOVA D'ARDENGHI
1581,LISSONE-MUGGIO'
2930,TRIUGGIO-PONTE ALBIATE
1066,CERNUSCO-MERATE
5152,PISOGNE
811,CALUSCO
873,CANTU'-CERMENATE
457,ARENA PO
1046,CAVARIA OGGIONA IERAGO
5264,BUSTO ARSIZIO FN
5326,GEMONIO
5318,MALNATE
5319,VARESE FN
2920,TREVIGLIO OVEST
1707,MILANO BOVISA FNM
2836,TERNO
5063,CARONNO PERTUSELLA
2934,TROMELLO
2557,S.MICHELE IN BOSCO
2336,REMEDELLO SOTTO
2760,SONDRIO
5312,LOCATE VARESINO-CARBONATE
2632,SAMOLACO
1413,GAZZADA SCHIANNO MORAZZONE
948,CASORATE SEMPIONE
407,ALBUZZANO
5087,CABIATE
3101,VILLASANTA
2808,TALAMONA
1550,LECCO
858,CANEGRATE
1690,MELZO
5344,COMO CAMERLATA (FNM)
5058,BOLLATE CENTRO
1634,MANERBIO
2655,SARTIRANA
2697,SERIATE
3183,BERGAMO OSPEDALE
1841,MONZA
1037,CAVA CARBONARA
5090,AROSIO
5052,SEVESO-BARUCCANA
636,BESOZZO
926,CASALBUTTANO
193,ALESSANDRIA
2976,VALLE LOMELLINA
2894,TORRILE S.POLO
5321,MOROSOLO-CASCIAGO
1715,MILANO PORTA GARIBALDI
2981,VALMADONNA
2564,S.NICOLO
3595,LEVATE
1808,MONTELLO GORLAGO
5060,GARBAGNATE PARCO GROANE
5262,RESCALDINA
2919,TREVIGLIO
1618,MAGENTA
5059,BOLLATE NORD
746,BRONI
1919,NOVATE-MEZZOLA
1940,OLMENETA
5056,MILANO QUARTO OGGIARO
5313,TRADATE-ABBIATE-GUAZZONE
2763,SORESINA
1039,S.MARTINO CAVA
2982,VALMADRERA
5098,CANZO-ASSO
5310,CISLAGO
1720,MILANO ROGOREDO
1085,CHIARI
2223,PONTE S.PIETRO
1119,CIVATE
2651,SARMATO
634,BESANA
5057,NOVATE MILANESE
2611,SAIRANO ZINASCO
1934,OLCIO
883,CAPRALBA
2520,S.GIULIANO MILANESE
1089,CHIAVENNA
5370,BORNATO-CALINO
2906,TRAVEDONA BIANDRONNO
406,ALBONESE
5089,CARUGO-GIUSSANO
799,CALCIO
892,CARAVAGGIO
1201,CREMA
3025,VERONA PORTA NUOVA
780,CESANO BOSCONE
2112,PIADENA
2111,PIACENZA
5339,CASLINO AL PIANO
3222,COMO CAMERLATA
3114,VISANO
1153,COLORNO
635,BESNATE
1393,GALLARATE
2757,SOMMA LOMBARDO
641,BIANZONE
5154,ISEO
1208,CUCCIAGO
899,CARIMATE
1087,CHIASSO
5046,SEVESO
5324,GAVIRATE VERBANO
632,BERGAMO
997,CASTELLEONE
2987,VANZAGO POGLIANO
1099,CHIUDUNO
1128,COCCAGLIO
2147,PIOLTELLO LIMITO
381,PREGNANA MILANESE
