,source,target,size,directed 
0,1005,RE11,108,false
1,1029,RE5,15,false
2,1029,S5,996,false
3,1037,R36,136,false
4,1039,R34,297,false
5,1040,R37,60,false
6,1046,RE5,15,false
7,1046,S5,996,false
8,1085,R4,163,false
9,1085,RE6,25,false
10,1087,RE80,78,false
11,1087,S10,4,false
12,1087,S11,252,false
13,1089,R11,126,false
14,1093,R37,172,false
15,1099,R1,199,false
16,1111,R7,166,false
17,1119,S7,371,false
18,1128,R1,209,false
19,1134,R37,166,false
20,1134,R38,303,false
21,1134,R39,40,false
22,1134,RE11,156,false
23,1139,R11,118,false
24,1139,R13,58,false
25,1139,RE8,238,false
26,1151,R1,180,false
27,1153,R8,250,false
28,1158,R18,145,false
29,1158,RE80,95,false
30,1158,S10,38,false
31,1158,S11,750,false
32,1158,S40,272,false
33,1187,R31,22,false
34,1187,S9,1248,false
35,1188,R37,166,false
36,1189,R13,46,false
37,1193,S7,420,false
38,1201,R6,333,false
39,1202,R37,40,false
40,1202,R39,40,false
41,1202,R40,71,false
42,1202,R5,112,false
43,1202,R6,352,false
44,1202,RE11,155,false
45,1208,S11,750,false
46,1225,R13,321,false
47,1228,R13,357,false
48,1229,RE6,349,false
49,1230,S11,252,false
50,1230,S9,1217,false
51,1253,RE4,127,false
52,1258,R13,50,false
53,1258,RE8,17,false
54,1259,R23,90,false
55,1263,R11,120,false
56,1311,R35,283,false
57,1329,R13,50,false
58,1329,RE8,17,false
59,1393,R21,203,false
60,1393,R23,90,false
61,1393,RE4,10,false
62,1393,RE5,172,false
63,1393,S30,77,false
64,1393,S5,992,false
65,1393,S50,288,false
66,1402,R36,144,false
67,1404,R25,24,false
68,1407,R36,144,false
69,1413,S5,942,false
70,1415,R40,71,false
71,1415,RE11,15,false
72,1425,R8,225,false
73,1467,R36,136,false
74,1473,R1,200,false
75,1492,RE5,160,false
76,1492,S50,300,false
77,1528,R37,166,false
78,1542,R21,51,false
79,1550,R13,357,false
80,1550,R18,25,false
81,1550,R7,190,false
82,1550,RE8,203,false
83,1550,S7,388,false
84,1550,S8,871,false
85,1554,R21,42,false
86,1554,RE5,187,false
87,1554,S5,980,false
88,1575,R13,340,false
89,1575,RE8,13,false
90,1581,S11,750,false
