,source,target,route,size
0,58,1717,S9,32
1,58,1721,S9,31
2,193,2973,R31,1
3,193,2981,R25,1
4,193,2981,R31,3
5,193,2981,R35,11
6,365,1550,R13,11
7,365,1550,RE8,1
8,365,1632,R13,12
9,365,1632,RE8,1
10,367,779,R31,21
11,367,1721,R31,2
12,367,3053,R31,23
13,374,1040,R37,3
14,374,1040,R39,3
15,374,2211,R37,2
16,374,2211,R39,3
17,380,1690,R4,1
18,380,1690,S5,35
19,380,2910,S5,35
20,381,2345,S6,35
21,381,3119,S6,34
22,388,807,S8,34
23,388,1937,S8,33
24,397,1808,R1,17
25,397,2697,R1,17
26,400,401,R18,1
27,400,3222,S10,2
28,400,3222,S40,1
29,401,872,R18,11
30,401,3222,R18,11
31,405,1029,S5,33
32,405,1046,RE5,1
33,405,1046,S5,34
34,406,698,R25,5
35,406,1858,R25,5
36,407,615,R37,11
37,407,1863,R37,11
38,424,2223,R7,15
39,424,2235,R7,16
40,438,731,R18,11
41,438,1698,R18,11
42,451,654,RE5,17
43,451,1492,RE5,17
44,451,1492,S40,15
45,451,1492,S50,20
46,451,2974,S40,15
47,451,2974,S50,20
48,453,905,R14,20
49,453,905,S8,34
50,453,1841,R14,20
51,453,1841,S8,34
52,455,1846,R13,1
53,455,2573,R13,10
54,455,2808,R13,9
55,457,975,R34,4
56,457,975,R41,3
57,457,2790,R34,4
58,457,2790,R41,3
59,461,1259,R23,9
60,461,2713,RE4,8
61,461,2793,RE4,6
62,472,866,R8,13
63,472,2335,R8,1
64,472,2336,R8,12
65,576,1634,R5,14
66,576,2603,R5,14
67,588,746,R34,13
68,588,2143,R34,13
69,615,407,R37,11
70,615,1188,R37,11
71,618,1139,RE8,13
72,618,1228,R13,12
73,618,1228,RE8,1
74,618,2993,R13,11
75,618,2993,RE8,15
76,632,2223,R7,16
77,632,2697,R1,17
78,632,3016,RE2,27
79,632,3183,R14,20
80,632,3596,R2,23
81,634,2337,S7,19
82,634,3074,S7,20
83,635,1393,R21,10
84,635,1393,S30,3
85,635,1853,R21,11
86,635,1853,S30,4
87,636,2636,R21,11
88,636,2636,S30,4
89,636,2833,R21,1
90,636,2906,R21,10
91,636,2906,S30,3
92,641,2850,R12,1
93,641,2916,R12,1
94,641,2916,RE8,1
95,641,3071,R12,2
96,642,768,S7,20
97,642,1604,S7,20
98,654,451,RE5,17
99,654,2250,RE5,17
100,698,406,R25,5
101,698,3032,R25,5
102,710,2487,S1,35
103,710,2520,S1,35
104,725,1645,R40,4
105,725,1645,RE11,10
106,725,2112,R40,3
107,725,2112,RE11,11
108,731,438,R18,11
109,731,872,R18,11
110,734,1085,RE6,1
111,734,1229,RE6,16
112,734,1974,R1,15
113,734,1974,R4,15
114,734,2437,R1,2
115,734,2437,R4,1
116,734,2437,RE6,17
117,734,2603,R5,14
118,734,2603,R8,13
119,734,2919,RE6,1
120,734,5154,RE3,5
121,734,5370,RE3,1
122,734,5378,R3,20
123,736,737,R34,13
124,736,2143,R34,13
125,737,736,R34,13
126,737,1039,R34,13
127,746,588,R34,13
128,746,2518,R41,3
129,746,2790,R34,13
130,746,2790,R41,3
131,766,1393,R23,9
132,766,1393,RE4,6
133,766,1393,RE5,18
134,766,1393,S5,33
135,766,1393,S50,18
136,766,1554,RE5,16
137,766,1554,S5,33
138,766,2033,R23,1
139,766,3098,R23,8
140,766,3098,RE4,8
141,766,5264,S50,36
142,768,642,S7,20
143,768,3101,S7,20
144,779,367,R31,23
145,779,1386,S9,32
146,779,1716,R31,1
147,779,1721,R31,20
148,780,1187,S9,32
149,780,2923,R31,2
150,780,2923,S9,31
151,799,1085,R4,15
152,799,2419,R4,15
153,801,1542,R21,10
154,801,1542,S30,3
155,801,2260,R21,11
156,801,2260,S30,4
157,807,388,S8,33
158,807,905,RE8,2
159,807,1066,RE8,1
160,807,1111,R7,15
161,807,1550,R7,11
162,807,1550,RE8,6
163,807,1551,S8,34
164,807,3015,R7,5
165,811,1998,R14,20
166,811,2836,R14,20
167,813,3038,R8,12
168,813,3114,R8,13
169,819,899,S11,35
170,819,2696,S11,36
171,819,5046,S4,33
172,858,1554,S5,33
173,858,1715,R21,1
174,858,2033,S5,33
175,866,472,R8,12
176,866,2112,R8,13
177,872,401,R18,11
178,872,731,R18,11
179,872,1698,R18,1
180,873,899,S11,36
181,873,1208,S11,35
182,873,2696,RE80,2
183,883,892,R6,17
184,883,932,R6,18
185,891,2930,S7,20
186,891,3074,S7,20
187,892,883,R6,18
188,892,2919,R6,17
189,899,819,S11,36
190,899,873,S11,35
191,905,453,R14,20
192,905,453,S8,34
193,905,1066,RE8,2
194,905,1841,RE8,3
195,905,1964,S8,34
196,905,1998,R14,20
197,926,1940,R6,18
198,926,2763,R6,18
199,932,883,R6,17
200,932,1201,R6,18
201,934,1153,R8,2
202,934,1704,R8,14
203,934,2513,R8,16
204,937,1134,R37,11
205,937,1134,R38,18
206,937,1134,RE11,2
207,937,1584,R38,1
208,937,1969,R37,11
209,937,2686,R38,17
210,947,1754,R18,11
211,947,1761,R18,11
212,948,1393,R23,9
213,948,2757,R23,9
214,950,1193,S7,19
215,950,2337,S7,19
216,951,2910,R4,1
217,951,2910,S5,35
218,951,2919,R4,1
219,951,2919,S5,35
220,951,2920,RE2,1
221,964,2518,R41,3
222,964,3123,R41,3
223,975,457,R34,4
224,975,457,R41,3
225,975,2111,R34,1
226,975,2651,R34,3
227,975,2651,R41,3
228,997,1201,R6,2
229,997,2763,R6,18
230,997,3372,R6,16
231,1005,725,RE11,1
232,1005,1639,R40,4
233,1005,1639,RE11,10
234,1005,1645,R40,1
235,1005,1645,RE11,10
236,1005,1973,R40,2
237,1025,2573,R13,1
238,1029,405,RE5,1
239,1029,405,S5,34
240,1029,1413,S5,33
241,1037,2046,R35,1
242,1037,2046,R36,12
243,1037,3095,R36,13
244,1039,737,R34,13
245,1039,2046,R34,13
246,1040,374,R37,2
247,1040,374,R39,2
248,1040,1202,R37,3
249,1040,1202,R39,3
250,1046,405,S5,33
251,1046,1393,RE5,1
252,1046,1393,S5,34
253,1066,807,RE8,2
254,1066,905,RE8,1
255,1066,1937,S8,34
256,1066,1964,S8,33
257,1085,799,R4,15
258,1085,2419,R4,1
259,1085,2419,RE6,17
260,1085,2437,R4,15
261,1085,2437,RE6,17
262,1087,1158,RE80,13
263,1087,1158,S10,1
264,1087,1158,S11,18
