,source,target,route,size
0,58,1717,S9,7
1,58,1721,S9,4
2,365,1550,R13,1
3,365,1632,R13,1
4,365,1632,RE8,1
5,367,779,R31,3
6,367,3053,R31,6
7,374,1040,R37,2
8,380,1690,S5,6
9,380,2910,S5,7
10,381,2345,S6,6
11,381,3119,S6,7
12,388,807,S8,8
13,388,1937,S8,6
14,397,1808,R1,3
15,397,2697,R1,2
16,401,3222,R18,1
17,405,1029,S5,6
18,405,1046,S5,4
19,406,1858,R25,1
20,407,615,R37,1
21,407,1863,R37,1
22,424,2223,R7,1
23,424,2235,R7,2
24,438,1698,R18,1
25,451,654,RE5,2
26,451,1492,RE5,2
27,451,1492,S40,1
28,451,1492,S50,4
29,451,2974,S50,5
30,453,905,R14,3
31,453,905,S8,7
32,453,1841,R14,4
33,453,1841,S8,7
34,457,975,R34,2
35,457,2790,R41,1
36,461,1259,R23,2
37,461,2713,RE4,1
38,461,2793,RE4,1
39,472,866,R8,1
40,472,2336,R8,2
41,576,1634,R5,1
42,576,2603,R5,1
43,588,746,R34,2
44,588,2143,R34,1
45,615,407,R37,1
46,615,1188,R37,1
47,618,1139,RE8,2
48,618,1228,R13,2
49,618,1228,RE8,1
50,618,2993,R13,1
51,618,2993,RE8,2
52,632,2223,R7,2
53,632,2697,R1,3
54,632,3016,RE2,3
55,632,3183,R14,3
56,632,3596,R2,2
57,634,2337,S7,2
58,635,1393,R21,2
59,635,1853,R21,2
60,636,2636,R21,3
61,636,2906,R21,2
62,642,768,S7,1
63,642,1604,S7,1
64,654,451,RE5,2
65,654,2250,RE5,2
66,698,406,R25,1
67,710,2487,S1,7
68,710,2520,S1,6
69,725,1645,RE11,2
70,725,2112,RE11,1
71,731,438,R18,1
72,734,1229,RE6,5
73,734,1974,R1,1
74,734,1974,R4,1
75,734,2437,RE6,3
76,734,2603,R5,1
77,734,5378,R3,2
78,736,737,R34,1
79,736,2143,R34,2
80,737,736,R34,2
81,737,1039,R34,1
82,746,588,R34,1
83,746,2518,R41,1
84,746,2790,R34,2
85,766,1393,R23,3
86,766,1393,RE4,1
87,766,1393,RE5,2
88,766,1393,S5,7
89,766,1393,S50,4
90,766,1554,RE5,1
91,766,1554,S5,4
92,766,3098,R23,2
93,766,3098,RE4,2
94,766,5264,S50,6
95,768,642,S7,1
96,768,3101,S7,1
97,779,367,R31,6
98,779,1386,S9,6
99,779,1721,R31,3
100,780,1187,S9,6
101,780,2923,R31,2
102,780,2923,S9,5
103,799,1085,R4,3
104,799,2419,R4,2
105,801,1542,R21,1
106,801,2260,R21,4
107,807,388,S8,6
108,807,1111,R7,1
109,807,1550,R7,2
110,807,1550,RE8,1
111,807,1551,S8,8
112,811,1998,R14,3
113,811,2836,R14,4
114,813,3038,R8,2
115,813,3114,R8,1
116,819,899,S11,7
117,819,2696,S11,7
118,819,5046,S4,5
119,858,1554,S5,7
120,858,2033,S5,4
121,866,472,R8,2
122,866,2112,R8,1
123,872,401,R18,1
124,872,731,R18,1
125,872,1698,R18,1
126,873,899,S11,7
127,873,1208,S11,7
128,883,892,R6,1
129,883,932,R6,2
130,891,3074,S7,2
131,892,883,R6,2
132,892,2919,R6,1
133,899,819,S11,7
134,899,873,S11,7
135,905,453,R14,3
136,905,453,S8,7
137,905,1964,S8,7
138,905,1998,R14,4
139,926,1940,R6,3
140,926,2763,R6,1
141,932,883,R6,1
142,932,1201,R6,2
143,934,1704,R8,1
144,934,2513,R8,2
145,937,1134,R37,2
146,937,1134,R38,4
147,937,1134,RE11,1
148,937,2686,R38,2
149,947,1761,R18,1
150,948,1393,R23,2
151,948,2757,R23,3
152,950,1193,S7,2
153,951,2910,S5,6
154,951,2919,R4,1
155,951,2919,S5,7
156,951,2920,RE2,1
157,964,3123,R41,1
158,975,457,R41,1
159,975,2111,R34,1
160,975,2651,R34,1
161,997,2763,R6,2
162,997,3372,R6,1
163,1005,1639,RE11,3
164,1005,1645,RE11,1
165,1029,405,S5,4
166,1029,1413,S5,6
167,1037,2046,R36,2
168,1039,737,R34,2
169,1039,2046,R34,1
170,1040,1202,R37,2
171,1046,405,S5,5
172,1046,1393,S5,5
173,1066,1937,S8,7
174,1066,1964,S8,7
175,1085,799,R4,2
176,1085,2419,RE6,3
177,1085,2437,R4,3
178,1085,2437,RE6,5
179,1087,1158,RE80,1
180,1087,1158,S11,3
181,1087,1158,S40,1
182,1089,2275,R11,1
183,1093,1528,R37,1
184,1093,1739,R37,1
185,1099,1473,R1,2
186,1099,1808,R1,2
187,1111,807,R7,2
188,1111,2235,R7,1
189,1119,2982,S7,3
190,1128,1151,R1,2
191,1128,2437,R1,4
192,1134,937,R38,2
193,1134,1584,RE11,1
194,1134,1626,R37,2
195,1134,1626,RE11,1
196,1134,2211,RE11,1
197,1134,2589,R38,4
198,1139,618,RE8,2
199,1139,1263,R11,1
200,1139,1846,RE8,3
201,1151,1128,R1,2
202,1151,2015,R1,2
203,1153,1704,R8,2
204,1153,2894,R8,1
205,1158,1087,RE80,3
206,1158,1087,S10,2
207,1158,1087,S11,3
208,1158,3222,R18,1
209,1158,3222,RE80,1
210,1158,3222,S11,6
211,1174,1618,S6,7
212,1174,3119,S6,6
213,1187,780,R31,2
214,1187,780,S9,5
215,1187,1721,S9,6
216,1188,615,R37,1
217,1188,2481,R37,1
218,1193,1761,S7,3
219,1201,932,R6,1
220,1201,3372,R6,2
221,1202,2112,RE11,2
222,1202,2211,RE11,1
223,1208,873,S11,7
224,1208,3222,S11,7
225,1228,1139,RE8,1
226,1228,1258,R13,2
227,1229,734,RE6,3
228,1229,2099,RE6,5
229,1230,1581,S11,7
230,1230,1581,S9,5
231,1230,2696,S11,7
232,1230,2696,S9,4
233,1253,3012,RE4,1
234,1258,2151,R13,2
235,1259,461,R23,3
236,1259,2713,R23,2
