,source,target,route,size
0,58,1717,S9,7
1,58,1721,S9,9
2,193,2973,R31,1
3,193,2981,R31,3
4,193,2981,R35,4
5,365,1550,R13,3
6,365,1550,RE8,1
7,365,1632,R13,2
8,367,779,R31,8
9,367,1721,R31,2
10,367,3053,R31,3
11,374,1040,R37,1
12,374,1040,R39,1
13,374,2211,R37,2
14,374,2211,R39,1
15,380,1690,R4,1
16,380,1690,S5,9
17,380,2910,S5,8
18,381,2345,S6,9
19,381,3119,S6,7
20,388,807,S8,8
21,388,1937,S8,10
22,397,1808,R1,4
23,397,2697,R1,6
24,400,401,R18,1
25,400,3222,S10,2
26,400,3222,S40,1
27,401,872,R18,3
28,401,3222,R18,3
29,405,1029,S5,7
30,405,1046,RE5,1
31,405,1046,S5,9
32,406,698,R25,4
33,407,615,R37,2
34,407,1863,R37,3
35,424,2223,R7,4
36,424,2235,R7,4
37,438,731,R18,3
38,438,1698,R18,3
39,451,654,RE5,5
40,451,1492,RE5,5
41,451,1492,S40,4
42,451,1492,S50,6
43,451,2974,S40,5
44,451,2974,S50,5
45,453,905,R14,4
46,453,905,S8,9
47,453,1841,R14,6
48,453,1841,S8,10
49,455,1846,R13,1
50,455,2573,R13,2
51,455,2808,R13,3
52,457,975,R34,1
53,457,975,R41,1
54,457,2790,R34,3
55,461,1259,R23,3
56,461,2713,RE4,3
57,461,2793,RE4,2
58,472,866,R8,4
59,472,2336,R8,4
60,576,1634,R5,3
61,576,2603,R5,4
62,588,746,R34,3
63,588,2143,R34,5
64,615,407,R37,3
65,615,1188,R37,2
66,618,1139,RE8,3
67,618,1228,R13,1
68,618,2993,R13,3
69,618,2993,RE8,5
70,632,2223,R7,4
71,632,2697,R1,4
72,632,3016,RE2,11
73,632,3183,R14,7
74,632,3596,R2,7
75,634,2337,S7,4
76,634,3074,S7,9
77,635,1393,R21,5
78,635,1853,R21,3
79,635,1853,S30,1
80,636,2636,R21,3
81,636,2636,S30,1
82,636,2833,R21,1
83,636,2906,R21,5
84,641,2850,R12,1
85,641,2916,RE8,1
86,642,768,S7,8
87,642,1604,S7,5
88,654,451,RE5,5
89,654,2250,RE5,5
90,698,3032,R25,4
91,710,2487,S1,8
92,710,2520,S1,9
93,725,1645,R40,1
94,725,1645,RE11,2
95,725,2112,R40,1
96,725,2112,RE11,4
97,731,438,R18,3
98,731,872,R18,3
99,734,1085,RE6,1
100,734,1229,RE6,3
101,734,1974,R1,5
102,734,1974,R4,6
103,734,2437,R1,1
104,734,2437,R4,1
105,734,2437,RE6,5
106,734,2603,R5,3
107,734,2603,R8,5
108,734,2919,RE6,1
109,734,5154,RE3,1
110,734,5378,R3,4
111,736,737,R34,5
112,736,2143,R34,3
113,737,736,R34,3
114,737,1039,R34,5
115,746,588,R34,5
116,746,2790,R34,2
117,746,2790,R41,1
118,766,1393,R23,2
119,766,1393,RE4,2
120,766,1393,RE5,4
121,766,1393,S5,6
122,766,1393,S50,4
123,766,1554,RE5,4
124,766,1554,S5,9
125,766,2033,R23,1
126,766,3098,R23,1
127,766,3098,RE4,2
128,766,5264,S50,10
129,768,642,S7,5
130,768,3101,S7,8
131,779,367,R31,3
132,779,1386,S9,8
133,779,1716,R31,1
134,779,1721,R31,6
135,780,1187,S9,8
136,780,2923,S9,8
137,799,1085,R4,4
138,799,2419,R4,6
139,801,1542,R21,5
140,801,2260,R21,3
141,801,2260,S30,1
142,807,388,S8,10
143,807,905,RE8,2
144,807,1066,RE8,1
145,807,1111,R7,4
146,807,1550,R7,2
147,807,1551,S8,8
148,807,3015,R7,2
149,811,1998,R14,7
150,811,2836,R14,4
151,813,3038,R8,4
152,813,3114,R8,4
153,819,899,S11,8
154,819,2696,S11,9
155,819,5046,S4,8
156,858,1554,S5,6
157,858,1715,R21,1
158,858,2033,S5,9
159,866,472,R8,4
160,866,2112,R8,4
161,872,401,R18,3
162,872,731,R18,3
163,873,899,S11,9
164,873,1208,S11,8
165,873,2696,RE80,2
166,883,892,R6,6
167,883,932,R6,4
168,891,2930,S7,8
169,891,3074,S7,4
170,892,883,R6,4
171,892,2919,R6,6
172,899,819,S11,9
173,899,873,S11,8
174,905,453,R14,6
175,905,453,S8,10
176,905,1841,RE8,3
177,905,1964,S8,9
