,source,target,route,size
0,58,1717,S9,6
1,58,1721,S9,5
2,193,2981,R25,1
3,193,2981,R35,2
4,365,1550,R13,3
5,365,1632,R13,3
6,367,779,R31,3
7,367,3053,R31,7
8,380,1690,S5,6
9,380,2910,S5,6
10,381,2345,S6,6
11,381,3119,S6,6
12,388,807,S8,6
13,388,1937,S8,6
14,397,1808,R1,4
15,397,2697,R1,4
16,401,872,R18,2
17,401,3222,R18,3
18,405,1029,S5,6
19,405,1046,S5,5
20,406,698,R25,1
21,406,1858,R25,2
22,407,615,R37,3
23,407,1863,R37,3
24,424,2223,R7,3
25,424,2235,R7,3
26,438,731,R18,3
27,438,1698,R18,3
28,451,654,RE5,3
29,451,1492,RE5,3
30,451,1492,S40,3
31,451,1492,S50,3
32,451,2974,S40,3
33,451,2974,S50,3
34,453,905,R14,4
35,453,905,S8,6
36,453,1841,R14,3
37,453,1841,S8,6
38,455,2573,R13,2
39,455,2808,R13,2
40,457,975,R41,1
41,457,2790,R41,1
42,461,1259,R23,1
43,461,2713,RE4,2
44,461,2793,RE4,1
45,472,866,R8,3
46,472,2335,R8,1
47,472,2336,R8,2
48,576,1634,R5,2
49,576,2603,R5,3
50,588,746,R34,3
51,588,2143,R34,3
52,615,407,R37,3
53,615,1188,R37,3
54,618,1139,RE8,3
55,618,1228,R13,2
56,618,2993,R13,2
57,618,2993,RE8,3
58,632,2223,R7,3
59,632,2697,R1,4
60,632,3016,RE2,5
61,632,3183,R14,3
62,632,3596,R2,5
63,634,2337,S7,6
64,634,3074,S7,3
65,635,1393,R21,1
66,635,1393,S30,2
67,635,1853,R21,4
68,635,1853,S30,1
69,636,2636,R21,3
70,636,2636,S30,1
71,636,2906,R21,1
72,636,2906,S30,2
73,641,2916,R12,1
74,641,3071,R12,1
75,642,768,S7,3
76,642,1604,S7,6
77,654,451,RE5,3
78,654,2250,RE5,3
79,698,406,R25,2
80,698,3032,R25,1
81,710,2487,S1,6
82,710,2520,S1,6
83,725,1645,RE11,3
84,725,2112,RE11,3
85,731,438,R18,3
86,731,872,R18,2
87,734,1229,RE6,3
88,734,1974,R1,2
89,734,1974,R4,3
90,734,2437,R1,1
91,734,2437,RE6,3
92,734,2603,R5,3
93,734,2603,R8,3
94,734,5154,RE3,1
95,734,5370,RE3,1
96,734,5378,R3,4
97,736,737,R34,3
98,736,2143,R34,3
99,737,736,R34,3
100,737,1039,R34,3
101,746,588,R34,3
102,746,2518,R41,1
103,746,2790,R34,2
104,746,2790,R41,1
105,766,1393,R23,2
106,766,1393,RE4,1
107,766,1393,RE5,5
108,766,1393,S5,6
109,766,1393,S50,3
110,766,1554,RE5,2
111,766,1554,S5,6
112,766,3098,R23,1
113,766,3098,RE4,1
114,766,5264,S50,6
115,768,642,S7,6
116,768,3101,S7,3
117,779,367,R31,6
118,779,1386,S9,6
119,779,1721,R31,2
120,780,1187,S9,6
121,780,2923,S9,6
122,799,1085,R4,5
123,799,2419,R4,3
124,801,1542,R21,1
125,801,1542,S30,1
126,801,2260,R21,2
127,801,2260,S30,2
128,807,388,S8,6
129,807,1111,R7,3
130,807,1550,R7,1
131,807,1550,RE8,3
132,807,1551,S8,6
133,807,3015,R7,2
134,811,1998,R14,3
135,811,2836,R14,5
136,813,3038,R8,2
137,813,3114,R8,3
138,819,899,S11,6
139,819,2696,S11,6
140,819,5046,S4,5
141,858,1554,S5,6
142,858,2033,S5,6
143,866,472,R8,2
144,866,2112,R8,3
145,872,401,R18,2
146,872,731,R18,2
147,873,899,S11,6
148,873,1208,S11,6
149,883,892,R6,3
150,883,932,R6,5
151,891,2930,S7,2
152,891,3074,S7,6
153,892,883,R6,5
154,892,2919,R6,3
155,899,819,S11,6
156,899,873,S11,6
157,905,453,R14,2
158,905,453,S8,6
159,905,1066,RE8,2
160,905,1964,S8,6
161,905,1998,R14,5
162,926,1940,R6,4
163,926,2763,R6,2
164,932,883,R6,3
165,932,1201,R6,5
166,934,1153,R8,1
167,934,1704,R8,2
168,934,2513,R8,4
169,937,1134,R37,3
170,937,1134,R38,5
171,937,1969,R37,2
172,937,2686,R38,3
173,947,1754,R18,3
174,947,1761,R18,3
175,948,1393,R23,1
176,948,2757,R23,2
177,950,1193,S7,5
178,950,2337,S7,3
179,951,2910,S5,6
180,951,2919,S5,6
181,964,2518,R41,1
182,964,3123,R41,1
183,975,457,R41,1
184,975,2651,R41,1
185,997,2763,R6,5
186,997,3372,R6,3
187,1005,1639,R40,1
188,1005,1639,RE11,2
189,1005,1645,RE11,2
190,1029,405,S5,6
191,1029,1413,S5,6
192,1037,2046,R36,3
193,1037,3095,R36,3
194,1039,737,R34,3
195,1039,2046,R34,3
196,1046,405,S5,5
197,1046,1393,S5,6
198,1066,807,RE8,2
199,1066,1937,S8,5
200,1066,1964,S8,6
201,1085,799,R4,3
202,1085,2419,RE6,3
203,1085,2437,R4,5
204,1085,2437,RE6,3
205,1087,1158,RE80,3
206,1087,1158,S11,3
207,1087,1158,S40,3
208,1087,85053,S40,3
209,1089,2275,R11,3
210,1093,1528,R37,3
211,1093,1739,R37,3
212,1099,1473,R1,3
213,1099,1808,R1,4
214,1100,2218,R12,1
215,1100,2504,R12,1
216,1111,807,R7,3
217,1111,2235,R7,3
218,1119,2612,S7,3
