,source,target,route,size
0,58,1717,S9,5
1,58,1721,S9,4
2,193,2981,R35,1
3,365,1550,R13,1
4,365,1632,R13,2
5,367,779,R31,3
6,367,3053,R31,3
7,374,1040,R39,1
8,374,2211,R39,1
9,380,1690,S5,6
10,380,2910,S5,6
11,381,2345,S6,6
12,381,3119,S6,6
13,388,807,S8,4
14,388,1937,S8,3
15,397,1808,R1,1
16,397,2697,R1,1
17,405,1029,S5,6
18,405,1046,S5,5
19,406,1858,R25,1
20,407,615,R37,1
21,407,1863,R37,1
22,424,2223,R7,3
23,424,2235,R7,3
24,438,731,R18,1
25,451,654,RE5,3
26,451,1492,RE5,3
27,451,1492,S40,3
28,451,1492,S50,3
29,451,2974,S40,3
30,451,2974,S50,3
31,453,905,R14,2
32,453,905,S8,4
33,453,1841,R14,3
34,453,1841,S8,4
35,455,2573,R13,2
36,457,975,R34,1
37,457,2790,R34,1
38,461,1259,R23,1
39,472,866,R8,2
40,472,2336,R8,1
41,576,1634,R5,2
42,576,2603,R5,2
43,588,746,R34,1
44,615,407,R37,1
45,615,1188,R37,1
46,618,1139,RE8,2
47,618,1228,R13,1
48,618,2993,RE8,2
49,632,2223,R7,3
50,632,2697,R1,1
51,632,3016,RE2,3
52,632,3183,R14,3
53,632,3596,R2,3
54,634,2337,S7,3
55,634,3074,S7,3
56,642,768,S7,3
57,642,1604,S7,3
58,654,451,RE5,3
59,654,2250,RE5,3
60,698,406,R25,1
61,710,2487,S1,6
62,710,2520,S1,6
63,725,1645,RE11,1
64,725,2112,RE11,1
65,734,1229,RE6,1
66,734,1974,R4,1
67,734,2437,RE6,2
68,734,2603,R5,3
69,734,2603,R8,2
70,734,5154,RE3,1
71,734,5378,R3,3
72,736,2143,R34,1
73,737,736,R34,1
74,766,1393,RE5,3
75,766,1393,S5,6
76,766,1393,S50,3
77,766,1554,RE5,2
78,766,1554,S5,6
79,766,3098,R23,1
80,766,3098,RE4,1
81,766,5264,S50,6
82,768,642,S7,3
83,768,3101,S7,3
84,779,367,R31,2
85,779,1386,S9,5
86,779,1721,R31,2
87,780,1187,S9,5
88,780,2923,S9,5
89,799,1085,R4,1
90,807,388,S8,3
91,807,1111,R7,3
92,807,1550,R7,3
93,807,1551,S8,4
94,811,1998,R14,3
95,811,2836,R14,3
96,813,3038,R8,1
97,813,3114,R8,2
98,819,899,S11,6
99,819,2696,S11,6
100,819,5046,S4,5
101,858,1554,S5,6
102,858,2033,S5,6
103,866,472,R8,1
104,866,2112,R8,2
105,873,899,S11,6
106,873,1208,S11,6
107,883,892,R6,3
108,883,932,R6,3
109,891,2930,S7,2
110,891,3074,S7,3
111,892,883,R6,3
112,892,2919,R6,3
113,899,819,S11,6
114,899,873,S11,6
115,905,453,R14,2
116,905,453,S8,4
117,905,1964,S8,4
118,905,1998,R14,3
119,926,1940,R6,2
120,926,2763,R6,2
121,932,883,R6,3
122,932,1201,R6,3
123,934,1704,R8,3
124,934,2513,R8,2
125,937,1134,R38,1
126,937,1134,RE11,1
127,937,1969,R37,1
128,937,2686,R38,1
129,947,1754,R18,1
130,948,1393,R23,1
131,950,1193,S7,3
132,950,2337,S7,3
133,951,2910,S5,6
134,951,2919,S5,6
135,975,457,R34,1
136,975,2651,R34,1
137,997,2763,R6,3
138,997,3372,R6,3
139,1005,1639,RE11,2
140,1005,1645,RE11,2
141,1029,405,S5,6
142,1029,1413,S5,6
143,1037,2046,R36,1
144,1037,3095,R36,2
145,1039,737,R34,1
146,1040,374,R39,1
147,1040,1202,R39,1
148,1046,405,S5,5
149,1046,1393,S5,6
150,1066,1937,S8,3
151,1066,1964,S8,4
152,1085,2419,RE6,2
153,1085,2437,R4,1
154,1085,2437,RE6,2
155,1087,1158,RE80,2
156,1087,1158,S11,3
157,1087,1158,S40,3
158,1087,85053,S40,3
159,1089,2275,R11,3
160,1093,1528,R37,1
161,1093,1739,R37,1
162,1099,1473,R1,1
163,1099,1808,R1,1
164,1111,807,R7,3
165,1111,2235,R7,3
166,1119,2612,S7,3
167,1119,2982,S7,3
168,1128,1151,R1,1
169,1128,2437,R1,1
170,1134,937,R37,1
171,1134,937,R38,1
172,1134,1584,RE11,1
173,1134,1626,R39,1
174,1134,2211,RE11,1
175,1134,2589,R38,1
176,1139,618,RE8,2
177,1139,1225,R13,2
178,1139,1263,R11,4
179,1139,1846,RE8,2
180,1151,1128,R1,1
181,1151,2015,R1,1
182,1153,1704,R8,2
183,1153,2894,R8,3
184,1158,1087,RE80,1
185,1158,1087,S10,3
186,1158,1087,S11,3
187,1158,1087,S40,3
188,1158,3222,R18,1
189,1158,3222,RE80,2
190,1158,3222,S11,6
191,1174,1618,S6,6
192,1174,3119,S6,6
193,1187,780,S9,5
194,1187,1721,S9,4
195,1188,615,R37,1
196,1188,2481,R37,1
197,1189,1846,R13,2
198,1193,950,S7,3
199,1193,1761,S7,3
200,1201,932,R6,3
201,1201,3372,R6,3
202,1202,1040,R39,1
203,1202,1940,R5,3
204,1202,1940,R6,3
205,1202,2112,RE11,1
206,1202,2211,RE11,1
207,1202,3109,R40,1
208,1208,873,S11,6
209,1208,3222,S11,5
210,1225,1189,R13,2
211,1228,1258,R13,2
212,1229,734,RE6,1
213,1229,2099,RE6,1
214,1230,1581,S11,6
215,1230,1581,S9,6
216,1230,2696,S11,6
217,1230,2696,S9,5
218,1258,2151,R13,2
219,1259,2713,R23,1
220,1263,1139,R11,2
221,1263,3013,R11,4
222,1311,1585,R35,1
223,1311,2640,R35,1
224,1329,1575,R13,1
225,1329,2993,R13,2
226,1386,779,S9,5
227,1386,2923,S9,5
228,1393,766,R23,1
229,1393,766,RE5,3
230,1393,766,S5,6
231,1393,766,S50,3
232,1393,1046,S5,6
233,1393,2994,RE5,3
234,1393,2994,S50,2
235,1402,1858,R36,1
236,1402,2934,R36,1
237,1404,3032,R25,1
238,1407,2934,R36,1
239,1413,1029,S5,6
240,1413,2994,S5,6
241,1415,2881,R40,1
242,1425,1835,R8,1
243,1425,3038,R8,2
244,1467,1407,R36,1
245,1467,3095,R36,1
246,1473,1099,R1,1
247,1473,2015,R1,1
248,1492,451,RE5,3
249,1492,451,S40,3
250,1492,451,S50,3
251,1492,2994,RE5,3
252,1492,2994,S40,3
253,1492,2994,S50,2
254,1528,1093,R37,1
255,1528,1949,R37,1
256,1550,365,R13,2
257,1550,807,R7,2
258,1550,1551,S8,3
259,1550,1632,RE8,1
260,1550,1841,RE8,1
261,1550,2982,S7,3
262,1550,3015,R7,1
263,1551,807,S8,3
264,1551,1550,S8,4
265,1554,766,RE5,2
266,1554,766,S5,6
267,1554,858,S5,6
268,1554,3098,RE5,3
269,1575,1329,R13,2
270,1575,1934,R13,1
271,1581,1230,S11,6
272,1581,1230,S9,5
273,1581,1841,S11,5
274,1581,1841,S9,6
275,1584,1720,RE11,2
276,1584,2686,R38,1
277,1584,2820,S1,6
278,1585,1311,R35,1
279,1585,1682,R35,1
280,1604,642,S7,3
281,1604,2930,S7,2
282,1618,1174,S6,6
283,1618,2909,S6,5
284,1626,1134,R39,1
285,1626,2164,R39,1
286,1632,365,R13,1
287,1632,1550,RE8,1
288,1632,1934,R13,2
289,1632,2993,RE8,2
290,1634,576,R5,2
291,1634,3022,R5,2
292,1639,1005,RE11,2
293,1645,725,RE11,1
294,1645,1005,RE11,1
295,1682,1585,R35,1
296,1682,2889,R35,1
297,1688,2520,S1,6
298,1688,2604,S1,6
299,1690,380,S5,5
300,1690,3061,S5,5
301,1698,438,R18,1
302,1698,5092,R16,3
303,1698,5094,R16,3
304,1704,934,R8,2
305,1704,1153,R8,3
306,1707,1713,S1,6
307,1707,1713,S2,6
308,1707,1715,R28,3
309,1707,1715,XP2,3
310,1707,5048,R17,3
311,1707,5048,R22,4
312,1707,5048,R27,2
313,1707,5048,R28,6
314,1707,5048,XP1,6
315,1707,5048,XP2,6
316,1707,5053,XP1,5
317,1707,5054,R16,3
318,1707,5054,R17,4
319,1707,5054,R22,3
320,1707,5054,R27,3
321,1707,5054,RE1,1
322,1707,5054,S3,6
323,1707,5054,S4,5
324,1707,5056,S1,5
325,1707,5056,S3,6
326,1707,5065,R16,4
327,1707,5065,S2,12
328,1707,5065,S4,6
329,1708,3098,S5,6
330,1708,3098,S6,5
331,1708,3099,S5,6
332,1708,3099,S6,6
333,1711,1712,R34,2
334,1711,1712,R38,2
335,1711,1712,R4,1
336,1711,1712,S9,4
337,1711,1715,R14,3
338,1711,1715,S11,6
339,1711,1715,S7,4
340,1711,1715,S8,3
341,1711,2716,R14,3
342,1711,2716,S11,6
343,1711,2716,S7,4
344,1711,2716,S8,3
345,1711,2716,S9,5
346,1712,1711,R34,1
347,1712,1711,R38,1
348,1712,1711,R4,1
349,1712,1711,S9,4
350,1712,1720,R34,1
351,1712,1720,R38,1
352,1712,1720,RE11,2
353,1712,1728,RE11,2
354,1712,1728,RE2,3
355,1712,1728,RE6,2
356,1712,2147,R4,1
357,1712,2147,RE2,3
358,1712,2147,RE6,2
359,1712,2919,R6,1
360,1712,3099,RE2,1
361,1712,3169,S9,5
362,1713,1707,S1,6
363,1713,1707,S2,6
364,1713,1714,S1,6
365,1713,1714,S2,6
366,1713,1714,S5,6
367,1713,1714,S6,6
368,1713,3099,S5,6
369,1713,3099,S6,6
370,1714,1713,S1,6
371,1714,1713,S2,6
372,1714,1713,S5,6
373,1714,1713,S6,6
374,1714,1719,S1,6
375,1714,1719,S2,6
376,1714,1719,S5,6
377,1714,1719,S6,6
378,1715,1707,R28,3
379,1715,1707,XP2,3
380,1715,1711,R14,3
381,1715,1711,S11,6
382,1715,1711,S7,4
383,1715,1711,S8,4
384,1715,1728,R28,3
385,1715,1728,XP2,2
386,1715,3098,R23,1
387,1715,3098,RE5,3
388,1715,3099,R6,1
389,1716,1721,R31,3
390,1717,58,S9,5
391,1717,3169,S9,5
392,1718,1720,S1,5
393,1718,1720,S2,5
394,1718,3169,S5,6
395,1718,3169,S6,6
396,1718,3468,S1,6
397,1718,3468,S2,5
398,1718,3468,S5,6
399,1718,3468,S6,6
400,1719,1714,S1,6
401,1719,1714,S2,6
402,1719,1714,S5,6
403,1719,1714,S6,6
404,1719,1723,S1,6
405,1719,1723,S2,6
406,1719,1723,S5,5
407,1719,1723,S6,6
408,1720,937,RE11,1
409,1720,1584,R38,1
410,1720,1584,RE11,1
411,1720,1712,RE11,2
412,1720,1718,S1,5
413,1720,1718,S2,5
414,1720,2046,R34,1
415,1720,2487,S1,6
416,1721,58,S9,5
417,1721,779,R31,2
418,1721,1187,S9,4
419,1721,1716,R31,3
420,1723,1719,S1,6
421,1723,1719,S2,6
422,1723,1719,S5,5
423,1723,1719,S6,6
424,1723,3468,S1,6
425,1723,3468,S2,6
426,1723,3468,S5,5
427,1723,3468,S6,6
428,1728,1712,RE11,2
429,1728,1712,RE2,3
430,1728,1712,RE6,2
431,1728,1715,R28,3
432,1728,1715,XP2,2
433,1728,1841,RE8,2
434,1728,1841,RE80,1
435,1739,1093,R37,1
436,1739,2481,R37,1
437,1754,1698,R18,1
438,1761,947,R18,1
439,1761,1193,S7,3
440,1761,1930,S7,3
441,1808,397,R1,1
442,1808,1099,R1,1
443,1835,1425,R8,1
444,1835,2603,R8,1
445,1841,453,R14,3
446,1841,453,S8,4
447,1841,1550,RE8,1
448,1841,1581,S11,5
449,1841,1581,S9,5
450,1841,1728,RE8,1
451,1841,1728,RE80,1
452,1841,1842,S7,3
453,1841,2716,R14,3
454,1841,2716,S11,6
455,1841,2716,S7,3
456,1841,2716,S8,4
457,1841,2716,S9,6
458,1842,1841,S7,3
459,1842,3101,S7,3
460,1846,1139,RE8,1
461,1846,2760,RE8,2
462,1846,2808,R13,2
463,1848,2419,R4,1
464,1858,1402,R36,1
465,1858,1899,R36,1
466,1858,2036,R31,3
467,1863,407,R37,1
468,1863,2301,R37,1
469,1899,1858,R36,1
470,1899,2391,R36,1
471,1917,1404,R25,1
472,1917,2909,S6,6
473,1919,2632,R11,3
474,1919,3013,R11,2
475,1930,1761,S7,3
476,1930,2612,S7,3
477,1934,1575,R13,2
478,1934,1632,R13,1
479,1937,388,S8,4
480,1937,1066,S8,3
481,1940,926,R6,2
482,1940,1202,R5,3
483,1940,1202,R6,3
484,1940,2392,R5,3
485,1949,1528,R37,1
486,1964,905,S8,4
487,1964,1066,S8,4
488,1969,1949,R37,1
489,1974,734,R4,1
490,1974,2437,R1,1
491,1998,811,R14,3
492,1998,905,R14,3
493,2015,1151,R1,1
494,2015,1473,R1,1
495,2019,2391,R36,1
496,2033,858,S5,6
497,2033,2987,S5,5
498,2035,2894,R8,2
499,2036,1858,R31,3
500,2036,3053,R31,3
501,2046,1037,R36,2
502,2046,1039,R34,1
503,2046,2301,R37,1
504,2046,3380,R35,1
505,2111,2564,R34,1
506,2111,2589,R38,1
507,2112,725,R40,1
508,2112,725,RE11,1
509,2112,866,R8,1
510,2112,1202,RE11,1
511,2112,2513,R8,2
512,2138,2640,R35,1
513,2138,3134,R35,1
514,2143,588,R34,1
515,2147,1712,RE2,4
516,2147,1712,RE6,2
517,2147,2919,R4,1
518,2147,2919,RE6,2
519,2147,2920,RE2,1
520,2147,3016,RE2,2
521,2147,3061,S5,6
522,2147,3507,S5,6
523,2147,3507,S6,6
524,2151,1139,R13,2
525,2164,1626,R39,1
526,2164,2211,R39,1
527,2211,374,R39,1
528,2211,1134,RE11,1
529,2211,1202,RE11,1
530,2211,2164,R39,1
531,2218,2760,RE8,1
532,2223,424,R7,3
533,2223,632,R7,3
534,2223,2836,R14,3
535,2223,3183,R14,3
536,2235,424,R7,3
537,2235,1111,R7,3
538,2250,654,RE5,3
539,2275,1089,R11,3
540,2275,2477,R11,3
541,2301,1863,R37,1
542,2301,2046,R37,1
543,2335,2336,R8,2
544,2335,3114,R8,1
545,2336,472,R8,2
546,2336,2335,R8,1
547,2337,634,S7,3
548,2337,950,S7,3
549,2345,381,S6,6
550,2345,2987,S5,6
551,2345,3098,S5,6
552,2345,3098,S6,6
553,2391,1899,R36,1
554,2391,2019,R36,1
555,2392,1940,R5,3
556,2392,3022,R5,3
557,2419,799,R4,1
558,2419,1085,RE6,2
559,2419,2919,RE6,1
560,2435,2564,R34,1
561,2435,2651,R34,1
562,2437,734,RE6,2
563,2437,1085,RE6,2
564,2437,1128,R1,1
565,2437,1974,R1,1
566,2477,2275,R11,3
567,2477,2632,R11,3
568,2481,1188,R37,1
569,2481,1739,R37,1
570,2487,710,S1,6
571,2487,1720,S1,6
572,2513,934,R8,3
573,2513,2112,R8,2
574,2520,710,S1,6
575,2520,1688,S1,6
576,2564,2111,R34,1
577,2564,2435,R34,1
578,2573,2760,R13,2
579,2589,1134,R38,1
580,2589,2111,R38,1
581,2603,576,R5,3
582,2603,734,R5,2
583,2603,734,R8,2
584,2603,1835,R8,1
585,2604,1688,S1,6
586,2604,2820,S1,5
587,2611,3134,R35,1
588,2611,3380,R35,1
589,2612,1119,S7,3
590,2612,1930,S7,3
591,2612,2982,R18,1
592,2632,1919,R11,2
593,2632,2477,R11,3
594,2640,1311,R35,1
595,2640,2138,R35,1
596,2651,975,R34,1
597,2651,2435,R34,1
598,2686,937,R38,1
599,2686,1584,R38,1
600,2696,819,S11,6
601,2696,1230,S11,6
602,2696,1230,S9,5
603,2696,1841,RE80,1
604,2696,3222,RE80,1
605,2696,5052,S9,9
606,2697,397,R1,1
607,2697,632,R1,1
608,2713,3018,R23,1
609,2716,1711,R14,3
610,2716,1711,S11,6
611,2716,1711,S7,4
612,2716,1711,S8,3
613,2716,1711,S9,6
614,2716,1841,R14,3
615,2716,1841,S11,6
616,2716,1841,S7,3
617,2716,1841,S8,4
618,2716,1841,S9,5
619,2757,948,R23,1
620,2760,1846,RE8,1
621,2760,2916,RE8,3
622,2763,926,R6,3
623,2763,997,R6,3
624,2790,457,R34,1
625,2808,455,R13,2
626,2820,1584,S1,6
627,2820,2604,S1,5
628,2836,811,R14,3
629,2836,2223,R14,3
630,2850,2916,RE8,2
631,2881,2112,R40,1
632,2889,1682,R35,1
633,2894,1153,R8,2
634,2894,2035,R8,3
635,2909,1618,S6,5
636,2909,1917,S6,6
637,2910,380,S5,6
638,2910,951,S5,6
639,2916,2218,RE8,1
640,2916,2760,RE8,1
641,2916,2850,RE8,3
642,2919,892,R6,3
643,2919,951,S5,6
644,2919,2147,RE6,2
645,2919,2419,RE6,1
646,2919,2920,R2,3
647,2919,3048,R4,1
648,2920,2919,R2,3
649,2920,3016,RE2,1
650,2920,3594,R2,3
651,2923,780,S9,5
652,2923,1386,S9,5
653,2930,891,S7,2
654,2930,1604,S7,3
655,2934,1402,R36,1
656,2973,2889,R35,1
657,2974,451,S40,3
658,2974,451,S50,3
659,2974,85099,S40,3
660,2974,85099,S50,3
661,2981,2973,R35,1
662,2982,1119,S7,3
663,2982,1550,R18,1
664,2982,1550,S7,3
665,2987,2033,S5,5
666,2987,2345,S5,6
667,2993,618,R13,1
668,2993,618,RE8,2
669,2993,1329,R13,1
670,2993,1632,RE8,2
671,2994,1393,RE5,3
672,2994,1393,S50,2
673,2994,1413,S5,6
674,2994,1492,RE5,3
675,2994,1492,S40,3
676,2994,1492,S50,3
677,3013,1263,R11,2
678,3013,1919,R11,3
679,3014,2019,R36,1
680,3015,807,R7,1
681,3016,632,RE2,3
682,3016,2147,RE2,3
683,3016,3594,R2,3
684,3016,3595,R2,3
685,3018,2757,R23,1
686,3022,1634,R5,3
687,3022,2392,R5,3
688,3025,2099,RE6,1
689,3032,698,R25,1
690,3038,813,R8,2
691,3038,1425,R8,1
692,3048,1848,R4,1
693,3053,367,R31,3
694,3053,2036,R31,3
695,3061,1690,S5,5
696,3061,2147,S5,6
697,3074,634,S7,3
698,3074,891,S7,3
699,3095,1037,R36,1
700,3095,1467,R36,2
701,3098,1554,RE5,3
702,3098,1708,S5,6
703,3098,1708,S6,5
704,3098,1715,R23,2
705,3098,1715,RE5,3
706,3098,1728,RE4,1
707,3098,2345,S5,6
708,3098,2345,S6,6
709,3099,1708,S5,6
710,3099,1708,S6,6
711,3099,1712,R6,1
712,3099,1713,S5,6
713,3099,1713,S6,6
714,3099,1715,RE2,1
715,3101,768,S7,3
716,3101,1842,S7,3
717,3109,1415,R40,1
718,3114,813,R8,1
719,3114,2335,R8,2
720,3119,381,S6,6
721,3119,1174,S6,6
722,3134,2138,R35,1
723,3134,2611,R35,1
724,3169,1712,S9,5
725,3169,1717,S9,5
726,3169,1718,S5,6
727,3169,1718,S6,6
728,3169,3507,S5,6
729,3169,3507,S6,5
730,3183,632,R14,3
731,3183,2223,R14,3
732,3222,401,R18,1
733,3222,1158,RE80,1
