,source,target,route,size
0,58,1717,S9,7
1,58,1721,S9,6
2,193,2981,R35,4
3,365,1550,R13,3
4,365,1632,R13,4
5,367,779,R31,4
6,367,3053,R31,4
7,374,1040,R39,1
8,374,2211,R39,1
9,380,1690,S5,8
10,380,2910,S5,8
11,381,2345,S6,8
12,381,3119,S6,8
13,388,807,S8,8
14,388,1937,S8,8
15,397,1808,R1,5
16,397,2697,R1,4
17,401,872,R18,3
18,401,3222,R18,4
19,405,1029,S5,8
20,405,1046,S5,7
21,406,1858,R25,1
22,407,615,R37,4
23,407,1863,R37,3
24,424,2223,R7,4
25,424,2235,R7,4
26,438,731,R18,4
27,438,1698,R18,4
28,451,654,RE5,4
29,451,1492,RE5,4
30,451,1492,S40,4
31,451,1492,S50,4
32,451,2974,S40,4
33,451,2974,S50,4
34,453,905,R14,3
35,453,905,S8,8
36,453,1841,R14,4
37,453,1841,S8,7
38,455,2573,R13,4
39,455,2808,R13,4
40,457,2790,R41,1
41,461,1259,R23,2
42,461,2713,RE4,2
43,461,2793,RE4,2
44,472,866,R8,3
45,472,2336,R8,3
46,576,1634,R5,3
47,576,2603,R5,4
48,588,746,R34,4
49,588,2143,R34,4
50,615,407,R37,3
51,615,1188,R37,4
52,618,1139,RE8,3
53,618,1228,R13,3
54,618,2993,R13,3
55,618,2993,RE8,3
56,632,2223,R7,4
57,632,2697,R1,5
58,632,3016,RE2,5
59,632,3183,R14,4
60,632,3596,R2,6
61,634,2337,S7,4
62,634,3074,S7,5
63,635,1393,R21,2
64,635,1393,S30,1
65,635,1853,R21,2
66,635,1853,S30,2
67,636,2636,R21,2
68,636,2636,S30,2
69,636,2906,R21,2
70,636,2906,S30,1
71,641,3071,R12,1
72,642,768,S7,5
73,642,1604,S7,5
74,654,451,RE5,4
75,654,2250,RE5,4
76,698,406,R25,1
77,710,2487,S1,8
78,710,2520,S1,8
79,725,1645,R40,1
80,725,1645,RE11,2
81,725,2112,R40,2
82,725,2112,RE11,2
83,731,438,R18,4
84,731,872,R18,3
85,734,1229,RE6,4
86,734,1974,R1,3
87,734,1974,R4,4
88,734,2437,RE6,4
89,734,2603,R5,4
90,734,2603,R8,3
91,734,5154,RE3,2
92,734,5378,R3,5
93,736,737,R34,4
94,736,2143,R34,4
95,737,736,R34,4
