stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,stop_url,location_type,parent_station
1863,,MOTTA S.DAMIANO, ,45.178212,9.22185, ,0, 
5072,,BOVISIO MASCIAGO-MOMBELLO, ,45.612041,9.141317, ,0, 
5071,,VAREDO, ,45.595605,9.153331, ,0, 
1949,,ORIO LITTA, ,45.166951,9.550633, ,0, 
654,,BISUSCHIO-VIGGIU', ,45.870643,8.88791, ,0, 
3015,,VERCURAGO S.GIROLAMO, ,45.812724,9.422563, ,0, 
5051,,EDOLO, ,46.177007,10.329482, ,0, 
2033,,PARABIAGO, ,45.552506,8.946562, ,0, 
3123,,VOGHERA, ,44.997662,9.008757, ,0, 
461,,ARONA, ,45.755643,8.559422, ,0, 
5096,,CASLINO D'ERBA, ,45.835146,9.232295, ,0, 
2260,,PORTO VALTRAVAGLIA, ,45.958389,8.674076, ,0, 
365,,ABBADIA LARIANA, ,45.895595,9.334995, ,0, 
866,,CANNETO SULL'OGLIO, ,45.150149,10.371778, ,0, 
1639,,MANTOVA, ,45.158657,10.783349, ,0, 
5062,,CESATE, ,45.590796,9.066427, ,0, 
1202,,CREMONA, ,45.143044,10.017949, ,0, 
1721,,MILANO S.CRISTOFORO, ,45.44294,9.13083, ,0, 
2151,,PIONA, ,46.124753,9.350645, ,0, 
1718,,MILANO PORTA VITTORIA, ,45.459875,9.223843, ,0, 
1739,,MIRADOLO TERME, ,45.161988,9.449881, ,0, 
1711,,MILANO GRECO PIRELLI, ,45.512309,9.213908, ,0, 
1848,,MORENGO BARIANO, ,45.521721,9.703248, ,0, 
2636,,SANGIANO, ,45.874453,8.630919, ,0, 
2713,,SESTO CALENDE, ,45.725978,8.628505, ,0, 
1407,,GARLASCO, ,45.198938,8.927094, ,0, 
5073,,CESANO MADERNO, ,45.630808,9.141934, ,0, 
1713,,MILANO LANCETTI, ,45.495387,9.175915, ,0, 
3014,,VERCELLI, ,45.329831,8.416745, ,0, 
819,,CAMNAGO-LENTATE, ,45.66938,9.13268, ,0, 
2910,,TRECELLA, ,45.512828,9.480659, ,0, 
951,,CASSANO D'ADDA, ,45.514463,9.512782, ,0, 
5094,,ERBA, ,45.81309,9.230066, ,0, 
5320,,VARESE CASBENO, ,45.814995,8.811416, ,0, 
1225,,DELEBIO, ,46.138556,9.461144, ,0, 
2290,,PREMOSELLO CHIOVENDA, ,46.002454,8.327189, ,0, 
2487,,S.DONATO MILANESE, ,45.419525,9.254498, ,0, 
725,,BOZZOLO, ,45.10731,10.473034, ,0, 
2419,,ROMANO, ,45.523661,9.753488, ,0, 
367,,ABBIATEGRASSO, ,45.397525,8.920418, ,0, 
5364,,MARONE-ZONE, ,45.738352,10.093303, ,0, 
5316,,VENEGONO SUPERIORE-CASTIGLIONE, ,45.758058,8.890402, ,0, 
5323,,GAVIRATE, ,45.845677,8.71457, ,0, 
2793,,STRESA, ,45.884624,8.531605, ,0, 
1188,,CORTEOLONA, ,45.15964,9.375517, ,0, 
5409,,CORMANO-CUSANO MILANINO, ,45.550072,9.172951, ,0, 
5338,,LOMAZZO, ,45.698677,9.0363, ,0, 
1717,,MILANO PORTA ROMANA, ,45.445782,9.21313, ,0, 
2435,,ROTTOFRENO, ,45.060485,9.549094, ,0, 
5265,,FERNO-LONATE POZZOLO, ,45.608521,8.755505, ,0, 
3061,,VIGNATE, ,45.494285,9.376343, ,0, 
3380,,SAIRANO, ,45.138885,9.047112, ,0, 
737,,BRESSANA BOTTARONE, ,45.086335,9.110914, ,0, 
2392,,ROBECCO-PONTEVICO, ,45.266218,10.078712, ,0, 
1253,,DOMODOSSOLA, ,46.115385,8.296252, ,0, 
3119,,VITTUONE ARLUNO, ,45.490995,8.947603, ,0, 
3012,,VERBANIA-PALLANZA, ,45.943831,8.472095, ,0, 
1973,,OSPITALETTO MANTOVANO, ,45.129843,10.604669, ,0, 
3095,,VILLANOVA D'ARDENGHI, ,45.156962,9.03743, ,0, 
1581,,LISSONE-MUGGIO', ,45.606101,9.235422, ,0, 
2930,,TRIUGGIO-PONTE ALBIATE, ,45.658954,9.266799, ,0, 
1066,,CERNUSCO-MERATE, ,45.695045,9.396974, ,0, 
5152,,PISOGNE, ,45.806558,10.105751, ,0, 
811,,CALUSCO, ,45.684324,9.47058, ,0, 
873,,CANTU'-CERMENATE, ,45.71613,9.099528, ,0, 
457,,ARENA PO, ,45.08214,9.360389, ,0, 
1046,,CAVARIA OGGIONA IERAGO, ,45.698179,8.803742, ,0, 
5264,,BUSTO ARSIZIO FN, ,45.606114,8.851341, ,0, 
5326,,GEMONIO, ,45.877756,8.673939, ,0, 
5318,,MALNATE, ,45.795407,8.878385, ,0, 
5319,,VARESE FN, ,45.818351,8.833584, ,0, 
2920,,TREVIGLIO OVEST, ,45.521857,9.580572, ,0, 
1707,,MILANO BOVISA FNM, ,45.502682,9.159492, ,0, 
2836,,TERNO, ,45.688472,9.53617, ,0, 
5063,,CARONNO PERTUSELLA, ,45.5982,9.057898, ,0, 
2934,,TROMELLO, ,45.2119,8.872147, ,0, 
2557,,S.MICHELE IN BOSCO, ,45.122458,10.573236, ,0, 
2336,,REMEDELLO SOTTO, ,45.257387,10.388281, ,0, 
2760,,SONDRIO, ,46.167276,9.872873, ,0, 
5312,,LOCATE VARESINO-CARBONATE, ,45.689924,8.935905, ,0, 
2632,,SAMOLACO, ,46.247775,9.42237, ,0, 
1413,,GAZZADA SCHIANNO MORAZZONE, ,45.778664,8.824798, ,0, 
