route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id
S8,143784813497614,13497614, ,24868,0, , 
S11,143788213497660,13497660, ,25265,0, , 
S11,143788613497664,13497664, ,25271,0, , 
S11,143790613497678,13497678, ,25042,0, , 
R27,143782013497602,13497602, ,900260,0, , 
S2,143838413498118,13498118, ,24244,0, , 
S2,143840013498125,13498125, ,24249,0, , 
S6,143842313498128,13498128, ,24636,0, , 
S2,143844513498130,13498130, ,24222,0, , 
R8,143848113498143,13498143, ,10801,0, , 
S10,143792013497691,13497691, ,25156,0, , 
RE80,143793413497704,13497704, ,25532,0, , 
S11,143795113497719,13497719, ,25085,0, , 
RE80,143796013497728,13497728, ,25506,0, , 
S11,143796813497736,13497736, ,25064,0, , 
S11,143797813497755,13497755, ,25033,0, , 
S11,143798013497757,13497757, ,25081,0, , 
S11,143798913497766,13497766, ,25044,0, , 
R18,143799713497774,13497774, ,10414,0, , 
R18,143800213497778,13497778, ,10426,0, , 
R18,143801113497786,13497786, ,10440,0, , 
R18,143801613497794,13497794, ,10416,0, , 
R13,143802013497798,13497798, ,10329,0, , 
R18,143802613497804,13497804, ,10438,0, , 
S7,143803813497812,13497812, ,24759,0, , 
S9,143803913497813,13497813, ,24947,0, , 
S9,143805813497825,13497825, ,24924,0, , 
S9,143805913497826,13497826, ,24938,0, , 
S7,143808313497841,13497841, ,24761,0, , 
S9,143810713497868,13497868, ,24964,0, , 
S7,143812413497879,13497879, ,24745,0, , 
S7,143816113497898,13497898, ,24730,0, , 
S7,143816913497904,13497904, ,24772,0, , 
S7,143817113497906,13497906, ,24764,0, , 
S9,143817413497908,13497908, ,24922,0, , 
S8,143820113497943,13497943, ,24820,0, , 
R14,143820413497946,13497946, ,25850,0, , 
R14,143820513497947,13497947, ,25851,0, , 
R14,143823013497978,13497978, ,25823,0, , 
R14,143824813497996,13497996, ,25831,0, , 
R14,143825413498002,13498002, ,25867,0, , 
RE8,143825813498006,13498006, ,2832,0, , 
RE8,143826313498011,13498011, ,2834,0, , 
S2,143828013498043,13498043, ,24262,0, , 
R4,143828413498046,13498046, ,10925,0, , 
S2,143830013498054,13498054, ,24238,0, , 
S5,143831313498064,13498064, ,24527,0, , 
S2,143833713498084,13498084, ,24228,0, , 
S2,143834013498087,13498087, ,24239,0, , 
S6,143835213498097,13498097, ,24638,0, , 
RE6,143835413498099,13498099, ,2624,0, , 
S2,143835713498102,13498102, ,24270,0, , 
S2,143836413498107,13498107, ,24264,0, , 
S2,143836713498109,13498109, ,24231,0, , 
R21,143868713498316,13498316, ,25337,0, , 
S5,143869613498319,13498319, ,24560,0, , 
S5,143870813498324,13498324, ,24580,0, , 
R21,143870913498325,13498325, ,25350,0, , 
S5,143873813498338,13498338, ,24520,0, , 
S8,143876313498344,13498344, ,24850,0, , 
S10,143876813498349,13498349, ,25180,0, , 
S8,143878113498379,13498379, ,24830,0, , 
S8,143878313498381,13498381, ,24859,0, , 
S50,143878813498386,13498386, ,25590,0, , 
RE6,143879513498391,13498391, ,2647,0, , 
R34,143883713498420,13498420, ,10474,0, , 
S5,143886713498444,13498444, ,24575,0, , 
R34,143887413498447,13498447, ,10492,0, , 
R1,143887713498450,13498450, ,10110,0, , 
R8,143849513498153,13498153, ,33459,0, , 
S6,143851913498174,13498174, ,24619,0, , 
S6,143852013498175,13498175, ,24615,0, , 
R11,143852613498180,13498180, ,10162,0, , 
S6,143852713498181,13498181, ,24620,0, , 
R7,143854213498189,13498189, ,10721,0, , 
R7,143854513498215,13498215, ,10740,0, , 
R7,143858913498246,13498246, ,10727,0, , 
R11,143859213498249,13498249, ,10178,0, , 
R7,143860013498254,13498254, ,10717,0, , 
S6,143860713498260,13498260, ,24664,0, , 
R7,143861313498264,13498264, ,10736,0, , 
R11,143861913498267,13498267, ,10166,0, , 
S30,143863513498279,13498279, ,25339,0, , 
S5,143863713498280,13498280, ,24573,0, , 
S10,143864113498283,13498283, ,25176,0, , 
XP1,143961813499067,13499067, ,900331,0, , 
R22,143963513499082,13499082, ,910017,0, , 
R16,143964113499088,13499088, ,900651,0, , 
R17,143967713499121,13499121, ,902147,0, , 
S2,143968513499129,13499129, ,932643,0, , 
S4,143969513499138,13499138, ,902730,0, , 
S4,143969713499140,13499140, ,900727,0, , 
R34,143916013498629,13498629, ,10473,0, , 
R28,143916713498633,13498633, ,2985,0, , 
XP1,143917113498635,13498635, ,900313,0, , 
XP1,143918013498644,13498644, ,900395,0, , 
XP1,143918513498649,13498649, ,900324,0, , 
XP1,143919913498663,13498663, ,900348,0, , 
XP1,143920213498666,13498666, ,900385,0, , 
XP1,143920513498669,13498669, ,900355,0, , 
XP1,143920813498672,13498672, ,900356,0, , 
R28,143921713498681,13498681, ,2962,0, , 
R28,143922313498686,13498686, ,2923,0, , 
S50,143924913498716,13498716, ,25592,0, , 
S50,143925313498720,13498720, ,25587,0, , 
S4,143934613498803,13498803, ,900785,0, , 
R3,143936613498823,13498823, ,910988,0, , 
R3,143936813498825,13498825, ,911920,0, , 
R28,143937313498830,13498830, ,910383,0, , 
S4,143937913498835,13498835, ,900735,0, , 
R17,143938113498837,13498837, ,900179,0, , 
S2,143938613498841,13498841, ,932620,0, , 
R17,143939113498845,13498845, ,900129,0, , 
R22,143939713498851,13498851, ,912068,0, , 
R17,143942413498876,13498876, ,900123,0, , 
R17,143943613498884,13498884, ,900149,0, , 
R17,143943813498886,13498886, ,901112,0, , 
S50,143944913498894,13498894, ,928351,0, , 
S2,143946513498909,13498909, ,932636,0, , 
S2,143946913498912,13498912, ,932631,0, , 
R22,143947013498913,13498913, ,910065,0, , 
RE7,143947213498915,13498915, ,902116,0, , 
S9,143947513498935,13498935, ,931463,0, , 
S3,143948013498940,13498940, ,900842,0, , 
S50,143948513498945,13498945, ,928388,0, , 
S3,143948613498946,13498946, ,900851,0, , 
S3,143948813498948,13498948, ,900872,0, , 
S4,143950913498969,13498969, ,902756,0, , 
R28,143951513498974,13498974, ,910360,0, , 
S2,143951613498975,13498975, ,932642,0, , 
R3,143954313498999,13498999, ,910980,0, , 
R16,143954913499003,13499003, ,901659,0, , 
RE1,143955313499007,13499007, ,900030,0, , 
S3,143955513499009,13499009, ,900811,0, , 
S3,143958113499033,13499033, ,900828,0, , 
S2,143958713499039,13499039, ,932627,0, , 
R22,143960813499059,13499059, ,910090,0, , 
R3,143986013499286,13499286, ,901928,0, , 
R3,143987213499297,13499297, ,912944,0, , 
S3,143987313499298,13499298, ,900885,0, , 
R22,143987913499304,13499304, ,910073,0, , 
S4,143990113499323,13499323, ,900781,0, , 
S4,143990313499325,13499325, ,900761,0, , 
S2,143991413499335,13499335, ,932648,0, , 
R25,144027213499650,13499650, ,11254,0, , 
R31,144028613499664,13499664, ,10036,0, , 
R38,144028713499665,13499665, ,10860,0, , 
R38,144031313499685,13499685, ,10899,0, , 
R2,144031913499690,13499690, ,22619,0, , 
R38,144032513499695,13499695, ,10898,0, , 
RE6,144032713499696,13499696, ,2634,0, , 
XP1,143994213499362,13499362, ,900345,0, , 
XP1,143995813499378,13499378, ,900392,0, , 
R28,143995913499379,13499379, ,910369,0, , 
XP1,143996613499384,13499384, ,900342,0, , 
S9,143997313499391,13499391, ,931418,0, , 
S4,143997813499396,13499396, ,900771,0, , 
S3,143998613499402,13499402, ,900881,0, , 
R16,143999113499407,13499407, ,900657,0, , 
S9,143999513499411,13499411, ,931466,0, , 
XP2,143999613499412,13499412, ,910343,0, , 
R17,144000613499420,13499420, ,900169,0, , 
S9,144001313499427,13499427, ,931479,0, , 
XP1,144003213499439,13499439, ,900330,0, , 
R28,144003513499441,13499441, ,910366,0, , 
R16,144003613499442,13499442, ,900685,0, , 
R2,144012113499517,13499517, ,22625,0, , 
S6,144012813499524,13499524, ,24660,0, , 
R6,144013113499527,13499527, ,10608,0, , 
RE4,144014313499539,13499539, ,2442,0, , 
S5,144015113499544,13499544, ,24566,0, , 
RE4,144015313499546,13499546, ,2414,0, , 
R1,144015513499548,13499548, ,10106,0, , 
S40,144017313499563,13499563, ,25422,0, , 
R31,144018013499568,13499568, ,10095,0, , 
R36,144018913499576,13499576, ,10691,0, , 
R40,144019113499578,13499578, ,10007,0, , 
S50,144021713499602,13499602, ,25569,0, , 
R6,144023113499614,13499614, ,10641,0, , 
R31,144023313499615,13499615, ,10056,0, , 
R4,144025313499634,13499634, ,10930,0, , 
S1,144025413499635,13499635, ,24155,0, , 
R6,144026213499642,13499642, ,10647,0, , 
S4,143970313499145,13499145, ,902742,0, , 
S2,143970913499149,13499149, ,932625,0, , 
R22,143972513499165,13499165, ,900066,0, , 
RE3,143972713499167,13499167, ,900922,0, , 
R3,143974013499179,13499179, ,912968,0, , 
S3,143974813499186,13499186, ,900829,0, , 
S3,143975113499189,13499189, ,900841,0, , 
S9,143975713499195,13499195, ,931455,0, , 
S9,143976213499200,13499200, ,931426,0, , 
S4,143978913499222,13499222, ,902740,0, , 
S4,143983513499262,13499262, ,902712,0, , 
S4,143984713499273,13499273, ,900733,0, , 
S9,143985313499279,13499279, ,931432,0, , 
R28,143985613499282,13499282, ,910348,0, , 
RE4,144085013500187,13500187, ,2405,0, , 
R5,144087113500219,13500219, ,10538,0, , 
R6,144088213500230,13500230, ,10640,0, , 
R36,144088813500235,13500235, ,10665,0, , 
R35,144089013500236,13500236, ,10566,0, , 
R28,144089713500241,13500241, ,2924,0, , 
R28,144091313500256,13500256, ,2969,0, , 
R28,144034913499713,13499713, ,2945,0, , 
RE2,144035113499715,13499715, ,2257,0, , 
S6,144035413499718,13499718, ,24633,0, , 
S50,144036313499725,13499725, ,25557,0, , 
S50,144037413499734,13499734, ,25554,0, , 
R28,144037613499736,13499736, ,2965,0, , 
S5,144039913499757,13499757, ,24528,0, , 
R37,144041913499774,13499774, ,10766,0, , 
S6,144043813499792,13499792, ,24677,0, , 
R2,144045813499812,13499812, ,22683,0, , 
S5,144046813499821,13499821, ,24555,0, , 
R5,144050913499856,13499856, ,10516,0, , 
RE5,144052013499865,13499865, ,2533,0, , 
S6,144052813499872,13499872, ,24655,0, , 
RE2,144053413499877,13499877, ,2217,0, , 
RE2,144054213499884,13499884, ,2222,0, , 
R28,144054513499887,13499887, ,2933,0, , 
R38,144054713499889,13499889, ,10875,0, , 
R23,144054813499890,13499890, ,10237,0, , 
R28,144060013499936,13499936, ,2960,0, , 
S1,144061113499947,13499947, ,24136,0, , 
RE5,144061513499950,13499950, ,2560,0, , 
R4,144061713499952,13499952, ,2658,0, , 
XP2,144064413499974,13499974, ,2939,0, , 
RE2,144064813499978,13499978, ,2245,0, , 
R28,144065213499980,13499980, ,2981,0, , 
S6,144066913499995,13499995, ,24682,0, , 
XP2,144069113500017,13500017, ,2971,0, , 
RE2,144069513500021,13500021, ,2206,0, , 
S1,144071913500042,13500042, ,24147,0, , 
RE6,144073913500060,13500060, ,2628,0, , 
R40,144075013500101,13500101, ,10009,0, , 
R1,144075713500107,13500107, ,10119,0, , 
R28,144075813500108,13500108, ,2968,0, , 
R8,144076513500114,13500114, ,10813,0, , 
R31,144077413500122,13500122, ,10067,0, , 
S1,144078313500130,13500130, ,24145,0, , 
R37,144079613500140,13500140, ,10754,0, , 
R23,144082713500168,13500168, ,10233,0, , 
R5,144108613500441,13500441, ,10521,0, , 
RE11,144108913500444,13500444, ,2161,0, , 
RE1,144109913500451,13500451, ,902024,0, , 
R28,144110213500453,13500453, ,910345,0, , 
S3,144110313500454,13500454, ,900834,0, , 
R16,144111713500464,13500464, ,900637,0, , 
XP1,144112413500470,13500470, ,900362,0, , 
R17,144112813500474,13500474, ,901177,0, , 
